9062 “ú–{’Ê‰^,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1720","1720","1660","1690","6710000","1690","1"
"1989-02-20","1680","1690","1660","1660","2083000","1660","2"
"1989-02-21","1630","1650","1630","1630","3287000","1630","3"
"1989-02-22","1640","1660","1630","1630","3887000","1630","4"
"1989-02-23","1620","1650","1610","1630","2553000","1630","5"
"1989-02-27","1630","1640","1570","1580","2858000","1580","7"
"1989-02-28","1610","1610","1500","1520","2286000","1520","8"
"1989-03-01","1550","1560","1490","1500","6549000","1500","9"
"1989-03-02","1500","1510","1480","1500","2747000","1500","10"
"1989-03-03","1510","1530","1490","1490","3337000","1490","11"
"1989-03-06","1500","1510","1480","1510","2241000","1510","12"
"1989-03-07","1500","1520","1490","1510","1914000","1510","13"
"1989-03-08","1520","1530","1510","1510","3310000","1510","14"
"1989-03-09","1510","1540","1500","1530","2026000","1530","15"
"1989-03-10","1520","1540","1510","1540","1471000","1540","16"
"1989-03-13","1520","1540","1510","1520","978000","1520","17"
"1989-03-14","1520","1550","1520","1550","1881000","1550","18"
"1989-03-15","1550","1570","1530","1550","1925000","1550","19"
"1989-03-16","1560","1570","1540","1550","1834000","1550","20"
"1989-03-17","1550","1550","1510","1530","4108000","1530","21"
"1989-03-20","1490","1510","1480","1490","1873000","1490","22"
"1989-03-22","1490","1500","1450","1450","1361000","1450","24"
"1989-03-23","1490","1500","1430","1430","2486000","1430","25"
"1989-03-24","1470","1470","1440","1450","1651000","1450","26"
"1989-03-27","1450","1460","1430","1450","2263000","1450","27"
"1989-03-28","1460","1490","1420","1450","1274000","1450","28"
"1989-03-29","1450","1500","1450","1500","1540000","1500","29"
"1989-03-30","1530","1530","1480","1500","2098000","1500","30"
"1989-03-31","1530","1560","1500","1560","6449000","1560","31"
"1989-04-03","1570","1580","1540","1560","4332000","1560","32"
"1989-04-04","1560","1590","1560","1590","12387000","1590","33"
"1989-04-05","1600","1610","1560","1580","6687000","1580","34"
"1989-04-06","1560","1570","1510","1530","1315000","1530","35"
"1989-04-07","1530","1550","1510","1540","1047000","1540","36"
"1989-04-10","1510","1530","1500","1510","445000","1510","37"
"1989-04-11","1500","1530","1480","1490","905000","1490","38"
"1989-04-12","1500","1520","1500","1500","620000","1500","39"
"1989-04-13","1510","1520","1460","1480","2090000","1480","40"
"1989-04-14","1480","1490","1460","1480","1006000","1480","41"
"1989-04-17","1490","1500","1480","1490","1070000","1490","42"
"1989-04-18","1510","1510","1470","1490","1329000","1490","43"
"1989-04-19","1480","1490","1460","1470","1213000","1470","44"
"1989-04-20","1460","1470","1450","1470","1201000","1470","45"
"1989-04-21","1450","1460","1430","1440","1194000","1440","46"
"1989-04-24","1430","1440","1410","1420","1247000","1420","47"
"1989-04-25","1460","1470","1430","1460","938000","1460","48"
"1989-04-26","1470","1490","1460","1480","1681000","1480","49"
"1989-04-27","1530","1550","1510","1530","4739000","1530","50"
"1989-04-28","1540","1560","1530","1540","4601000","1540","51"
"1989-05-01","1560","1580","1550","1570","4012000","1570","52"
