9064 ƒ„ƒ}ƒgHD(ƒ„ƒ}ƒg‰^—A),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1760","1780","1730","1760","698000","1760","1"
"1989-02-20","1760","1760","1700","1750","507000","1750","2"
"1989-02-21","1720","1740","1720","1740","524000","1740","3"
"1989-02-22","1730","1740","1700","1730","590000","1730","4"
"1989-02-23","1710","1730","1710","1720","451000","1720","5"
"1989-02-27","1710","1720","1700","1700","613000","1700","7"
"1989-02-28","1700","1700","1680","1690","489000","1690","8"
"1989-03-01","1660","1690","1630","1650","559000","1650","9"
"1989-03-02","1640","1680","1630","1680","636000","1680","10"
"1989-03-03","1660","1680","1660","1660","438000","1660","11"
"1989-03-06","1660","1660","1640","1640","521000","1640","12"
"1989-03-07","1620","1650","1620","1640","302000","1640","13"
"1989-03-08","1650","1680","1640","1640","413000","1640","14"
"1989-03-09","1650","1650","1620","1650","492000","1650","15"
"1989-03-10","1640","1670","1620","1660","1346000","1660","16"
"1989-03-13","1680","1680","1610","1650","979000","1650","17"
"1989-03-14","1670","1670","1610","1660","2427000","1660","18"
"1989-03-15","1690","1690","1660","1680","515000","1680","19"
"1989-03-16","1680","1710","1680","1700","910000","1700","20"
"1989-03-17","1700","1730","1690","1710","1117000","1710","21"
"1989-03-20","1680","1710","1670","1710","402000","1710","22"
"1989-03-22","1700","1700","1680","1690","846000","1690","24"
"1989-03-23","1690","1700","1680","1690","784000","1690","25"
"1989-03-24","1690","1700","1670","1680","587000","1680","26"
"1989-03-27","1680","1690","1640","1640","461000","1640","27"
"1989-03-28","1640","1700","1640","1680","242000","1680","28"
"1989-03-29","1680","1680","1650","1650","449000","1650","29"
"1989-03-30","1630","1680","1630","1640","430000","1640","30"
"1989-03-31","1640","1690","1630","1680","454000","1680","31"
"1989-04-03","1680","1680","1640","1660","615000","1660","32"
"1989-04-04","1660","1710","1640","1690","714000","1690","33"
"1989-04-05","1690","1700","1680","1700","268000","1700","34"
"1989-04-06","1700","1710","1680","1700","474000","1700","35"
"1989-04-07","1680","1700","1670","1700","432000","1700","36"
"1989-04-10","1680","1690","1670","1680","144000","1680","37"
"1989-04-11","1670","1690","1670","1680","299000","1680","38"
"1989-04-12","1670","1680","1670","1670","126000","1670","39"
"1989-04-13","1680","1680","1670","1680","240000","1680","40"
"1989-04-14","1670","1690","1660","1680","370000","1680","41"
"1989-04-17","1680","1680","1650","1660","216000","1660","42"
"1989-04-18","1680","1680","1660","1680","368000","1680","43"
"1989-04-19","1660","1670","1660","1670","372000","1670","44"
"1989-04-20","1650","1680","1650","1670","334000","1670","45"
"1989-04-21","1640","1700","1640","1680","518000","1680","46"
"1989-04-24","1660","1700","1660","1680","183000","1680","47"
"1989-04-25","1700","1740","1670","1710","1193000","1710","48"
"1989-04-26","1730","1780","1720","1780","2265000","1780","49"
"1989-04-27","1800","1840","1790","1830","4551000","1830","50"
"1989-04-28","1820","1830","1800","1810","1037000","1810","51"
"1989-05-01","1780","1810","1780","1800","517000","1800","52"
"1989-05-02","1800","1800","1780","1790","730000","1790","53"
"1989-05-08","1780","1800","1780","1780","495000","1780","57"
"1989-05-09","1780","1810","1760","1780","766000","1780","58"
"1989-05-10","1760","1780","1750","1770","253000","1770","59"
"1989-05-11","1770","1790","1750","1770","754000","1770","60"
"1989-05-12","1770","1780","1760","1770","462000","1770","61"
"1989-05-15","1770","1770","1750","1760","151000","1760","62"
"1989-05-16","1780","1800","1770","1790","449000","1790","63"
"1989-05-17","1790","1810","1770","1810","1238000","1810","64"
"1989-05-18","1800","1810","1780","1780","463000","1780","65"
"1989-05-19","1800","1860","1800","1830","2302000","1830","66"
"1989-05-22","1830","1840","1810","1830","878000","1830","67"
"1989-05-23","1820","1820","1780","1800","589000","1800","68"
"1989-05-24","1790","1850","1790","1830","2405000","1830","69"
"1989-05-25","1830","1880","1820","1870","3349000","1870","70"
"1989-05-26","1880","1930","1870","1900","3912000","1900","71"
"1989-05-29","1900","1900","1860","1870","1008000","1870","72"
"1989-05-30","1880","1880","1840","1840","885000","1840","73"
"1989-05-31","1860","1880","1840","1880","546000","1880","74"
"1989-06-01","1890","1890","1840","1840","583000","1840","75"
"1989-06-02","1860","1880","1820","1860","1193000","1860","76"
"1989-06-05","1830","1850","1820","1820","507000","1820","77"
"1989-06-06","1820","1860","1800","1840","811000","1840","78"
"1989-06-07","1870","1880","1830","1870","445000","1870","79"
"1989-06-08","1870","1870","1840","1860","347000","1860","80"
"1989-06-09","1850","1860","1820","1840","420000","1840","81"
"1989-06-12","1820","1830","1810","1820","131000","1820","82"
"1989-06-13","1820","1820","1780","1790","216000","1790","83"
"1989-06-14","1790","1820","1770","1800","308000","1800","84"
"1989-06-15","1810","1810","1750","1750","317000","1750","85"
"1989-06-16","1730","1790","1730","1760","265000","1760","86"
"1989-06-19","1750","1800","1750","1790","103000","1790","87"
"1989-06-20","1760","1800","1760","1780","261000","1780","88"
