9101 “ú–{—X‘D,,,,,
"date","open","hight","low","close","power","End","date_position"
"2019-07-10","1801","1817","1789","1795","2314699","1795","7901"
"2019-07-11","1804","1825","1799","1818","1369700","1818","7902"
"2019-07-12","1829","1834","1806","1811","908600","1811","7903"
"2019-07-16","1795","1815","1792","1811","1024400","1811","7905"
"2019-07-17","1822","1826","1799","1809","1146900","1809","7906"
"2019-07-18","1790","1790","1762","1766","1675300","1766","7907"
"2019-07-19","1783","1798","1770","1794","1510000","1794","7908"
"2019-07-22","1803","1805","1786","1792","950600","1792","7909"
"2019-07-23","1801","1851","1795","1842","2021000","1842","7910"
"2019-07-24","1880","1884","1862","1870","2009800","1870","7911"
"2019-07-25","1870","1876","1848","1867","1264400","1867","7912"
"2019-07-26","1850","1859","1841","1859","1099000","1859","7913"
"2019-07-29","1880","1899","1875","1895","1895599","1895","7914"
"2019-07-30","1895","1900","1884","1889","1221700","1889","7915"
"2019-07-31","1862","1885","1823","1823","2565300","1823","7916"
"2019-08-01","1799","1820","1774","1781","2180699","1781","7917"
"2019-08-02","1711","1718","1692","1706","2835000","1706","7918"
"2019-08-05","1686","1688","1643","1660","2239300","1660","7919"
"2019-08-06","1619","1656","1611","1655","2460699","1655","7920"
"2019-08-07","1648","1649","1623","1638","1608099","1638","7921"
"2019-08-08","1636","1639","1611","1618","1542599","1618","7922"
"2019-08-09","1637","1642","1614","1624","1201800","1624","7923"
"2019-08-13","1606","1608","1585","1600","1558800","1600","7925"
"2019-08-14","1638","1641","1594","1598","1520300","1598","7926"
"2019-08-15","1560","1577","1550","1573","1960500","1573","7927"
"2019-08-16","1565","1575","1558","1569","1166800","1569","7928"
"2019-08-19","1587","1589","1569","1589","1514900","1589","7929"
"2019-08-20","1602","1617","1591","1607","1834700","1607","7930"
"2019-08-21","1596","1597","1580","1595","975000","1595","7931"
"2019-08-22","1590","1599","1577","1599","999400","1599","7932"
"2019-08-23","1608","1623","1598","1608","1325099","1608","7933"
"2019-08-26","1555","1574","1542","1571","2211500","1571","7934"
"2019-08-27","1586","1590","1563","1565","1479099","1565","7935"
"2019-08-28","1561","1571","1553","1564","1148200","1564","7936"
"2019-08-29","1564","1574","1558","1571","1190400","1571","7937"
"2019-08-30","1586","1591","1578","1586","1364500","1586","7938"
"2019-09-02","1593","1600","1587","1592","1313400","1592","7939"
"2019-09-03","1596","1625","1596","1622","1773900","1622","7940"
"2019-09-04","1626","1651","1617","1649","1696599","1649","7941"
"2019-09-05","1667","1690","1665","1686","2187300","1686","7942"
"2019-09-06","1700","1720","1697","1701","2148199","1701","7943"
"2019-09-09","1690","1723","1685","1722","1232900","1722","7944"
"2019-09-10","1747","1774","1743","1771","2334699","1771","7945"
"2019-09-11","1804","1832","1804","1822","3021600","1822","7946"
"2019-09-12","1826","1841","1812","1833","2136500","1833","7947"
"2019-09-13","1850","1862","1838","1846","2530199","1846","7948"
"2019-09-17","1809","1853","1774","1851","2747699","1851","7950"
"2019-09-18","1832","1856","1830","1851","1806900","1851","7951"
"2019-09-19","1851","1874","1851","1866","1502200","1866","7952"
"2019-09-20","1864","1880","1852","1857","1587000","1857","7953"
"2019-09-24","1838","1870","1828","1843","2216800","1843","7955"
"2019-09-25","1818","1853","1804","1844","1864500","1844","7956"
"2019-09-26","1877","1879","1851","1856","1629800","1856","7957"
"2019-09-27","1856","1864","1821","1842","1589800","1842","7958"
"2019-09-30","1837","1855","1801","1805","1662300","1805","7959"
"2019-10-01","1805","1854","1802","1845","1734700","1845","7960"
"2019-10-02","1824","1840","1821","1837","1066599","1837","7961"
"2019-10-03","1798","1832","1792","1832","1478200","1832","7962"
"2019-10-04","1835","1844","1811","1823","1197400","1823","7963"
"2019-10-07","1845","1847","1815","1822","889100","1822","7964"
"2019-10-08","1843","1860","1831","1834","1296300","1834","7965"
"2019-10-09","1818","1823","1792","1798","1710599","1798","7966"
"2019-10-10","1795","1829","1771","1829","1544200","1829","7967"
"2019-10-11","1868","1870","1842","1865","2100600","1865","7968"
"2019-10-15","1903","1934","1893","1900","2836000","1900","7970"
"2019-10-16","1927","1938","1906","1916","1929700","1916","7971"
"2019-10-17","1905","1934","1895","1930","1380400","1930","7972"
"2019-10-18","1940","1947","1926","1929","1207200","1929","7973"
"2019-10-21","1915","1937","1910","1933","1107400","1933","7974"
"2019-10-23","1945","1983","1939","1983","2780000","1983","7976"
"2019-10-24","1985","1993","1967","1976","1542300","1976","7977"
"2019-10-25","1980","1991","1971","1983","1275599","1983","7978"
"2019-10-28","2004","2025","2002","2008","1714099","2008","7979"
"2019-10-29","2016","2027","2000","2006","1283900","2006","7980"
"2019-10-30","2003","2006","1982","2002","1375599","2002","7981"
"2019-10-31","2005","2010","1911","1963","3119500","1963","7982"
"2019-11-01","1929","1991","1912","1986","2234699","1986","7983"
"2019-11-05","2038","2040","2014","2020","2614800","2020","7985"
"2019-11-06","2025","2054","2025","2049","2241000","2049","7986"
"2019-11-07","2033","2044","2015","2033","1408599","2033","7987"
"2019-11-08","2060","2066","2020","2022","1515099","2022","7988"
"2019-11-11","2024","2047","1997","1998","1438400","1998","7989"
"2019-11-12","1998","2018","1996","2015","1231200","2015","7990"
"2019-11-13","2026","2038","2003","2016","1972800","2016","7991"
"2019-11-14","2008","2013","1964","1970","1713599","1970","7992"
"2019-11-15","1961","2005","1960","1994","1698599","1994","7993"
"2019-11-18","1996","2001","1970","1977","1327099","1977","7994"
"2019-11-19","1978","1991","1971","1988","1153200","1988","7995"
"2019-11-20","1953","1958","1901","1905","2851300","1905","7996"
"2019-11-21","1890","1906","1868","1876","2443400","1876","7997"
"2019-11-22","1875","1894","1866","1866","1455500","1866","7998"
"2019-11-25","1885","1904","1885","1898","1267099","1898","7999"
"2019-11-26","1925","1943","1904","1911","1929700","1911","8000"
"2019-11-27","1901","1910","1888","1895","1377000","1895","8001"
"2019-11-28","1915","1917","1889","1905","872700","1905","8002"
"2019-11-29","1905","1907","1877","1879","1037900","1879","8003"
"2019-12-02","1890","1927","1890","1925","1484000","1925","8004"
"2019-12-03","1885","1926","1882","1921","1273500","1921","8005"
"2019-12-04","1913","1923","1908","1915","1111800","1915","8006"
"2019-12-05","1941","1964","1932","1961","1731400","1961","8007"
"2019-12-06","1970","1977","1958","1967","904500","1967","8008"
"2019-12-09","1988","1996","1972","1988","1514500","1988","8009"
"2019-12-10","1989","1989","1974","1980","1224099","1980","8010"
"2019-12-11","1980","1982","1960","1970","1179599","1970","8011"
"2019-12-12","1974","1979","1957","1960","1328200","1960","8012"
"2019-12-13","2000","2018","1998","2017","2569000","2017","8013"
"2019-12-16","2024","2034","2009","2013","938500","2013","8014"
"2019-12-17","2026","2037","2015","2037","1391599","2037","8015"
"2019-12-18","2030","2032","1988","1989","1394400","1989","8016"
"2019-12-19","1967","1987","1962","1974","1023400","1974","8017"
