9101 “ú–{—X‘D,,,,,
"date","open","hight","low","close","power","End"
"2018-09-07","2000","2009","1973","2004","1969099","2004"
"2018-09-10","1993","2035","1993","2030","1151000","2030"
"2018-09-11","2036","2042","2021","2036","1185200","2036"
"2018-09-12","2039","2043","1995","2001","1934099","2001"
"2018-09-13","2001","2050","1998","2034","1494700","2034"
"2018-09-14","2053","2078","2047","2074","1605400","2074"
"2018-09-18","2050","2122","2048","2102","2292000","2102"
"2018-09-19","2121","2137","2090","2115","1988500","2115"
"2018-09-20","2116","2137","2105","2135","1633700","2135"
"2018-09-21","2140","2191","2136","2186","2271000","2186"
"2018-09-25","2159","2159","2110","2137","2351900","2137"
"2018-09-26","2114","2123","2081","2098","1771300","2098"
"2018-09-27","2099","2129","2087","2105","1616099","2105"
"2018-09-28","2116","2143","2091","2137","1912900","2137"
"2018-10-01","2131","2153","2111","2128","1309900","2128"
"2018-10-02","2146","2166","2133","2142","1674500","2142"
"2018-10-03","2123","2149","2117","2124","1314000","2124"
"2018-10-04","2133","2153","2110","2115","1768599","2115"
"2018-10-05","2100","2122","2092","2093","1407700","2093"
"2018-10-09","2074","2079","2059","2068","1493200","2068"
"2018-10-10","2079","2105","2071","2088","1447200","2088"
"2018-10-11","2019","2032","2004","2023","2779100","2023"
"2018-10-12","2007","2053","2006","2049","2107699","2049"
"2018-10-15","2039","2063","2028","2040","1403400","2040"
"2018-10-16","2040","2087","2038","2087","1569200","2087"
"2018-10-17","2020","2023","1941","1961","6005500","1961"
"2018-10-18","1960","1978","1941","1950","2521699","1950"
"2018-10-19","1928","1928","1882","1903","3616600","1903"
"2018-10-22","1891","1916","1876","1911","1604300","1911"
"2018-10-23","1903","1908","1856","1868","1923900","1868"
"2018-10-24","1865","1871","1827","1841","2768100","1841"
"2018-10-25","1781","1806","1769","1796","2538199","1796"
"2018-10-26","1830","1839","1777","1795","1957400","1795"
"2018-10-29","1795","1829","1793","1807","1413900","1807"
"2018-10-30","1790","1846","1789","1815","1557099","1815"
"2018-10-31","1816","1845","1803","1825","1748800","1825"
"2018-11-01","1801","1822","1783","1818","1842500","1818"
"2018-11-02","1805","1889","1797","1868","4313000","1868"
"2018-11-05","1857","1927","1845","1887","2749400","1887"
"2018-11-06","1880","1948","1880","1924","1990800","1924"
"2018-11-07","1935","1978","1910","1919","2247600","1919"
"2018-11-08","1947","1976","1936","1937","1644300","1937"
"2018-11-09","1927","1954","1926","1932","1135400","1932"
"2018-11-12","1913","1932","1903","1923","1059099","1923"
"2018-11-13","1881","1898","1854","1894","1919900","1894"
"2018-11-14","1890","1919","1877","1898","997299","1898"
"2018-11-15","1886","1900","1872","1884","890299","1884"
"2018-11-16","1884","1913","1875","1878","1148200","1878"
"2018-11-19","1880","1904","1867","1880","913600","1880"
