9104 è§ëDéOà‰,,,,,
"date","open","hight","low","close","power","End"
"1989-02-17","940","960","916","929","29979000","929"
"1989-02-20","937","940","903","908","4290000","908"
"1989-02-21","918","926","885","900","5399000","900"
"1989-02-22","902","905","884","890","4271000","890"
"1989-02-23","895","909","886","909","5587000","909"
"1989-02-27","899","909","889","898","1455000","898"
"1989-02-28","891","895","850","850","5084000","850"
"1989-03-01","860","869","850","864","3874000","864"
"1989-03-02","860","874","855","870","1725000","870"
"1989-03-03","880","886","860","871","3122000","871"
"1989-03-06","865","870","845","850","2191000","850"
"1989-03-07","846","860","842","846","3716000","846"
"1989-03-08","858","860","846","859","5533000","859"
"1989-03-09","862","869","846","846","3441000","846"
"1989-03-10","849","890","843","882","11817000","882"
"1989-03-13","892","899","866","875","6372000","875"
"1989-03-14","885","889","877","880","4031000","880"
"1989-03-15","890","915","890","907","13012000","907"
"1989-03-16","917","927","895","900","10229000","900"
"1989-03-17","920","921","905","909","3033000","909"
"1989-03-20","898","899","882","885","1945000","885"
"1989-03-22","885","890","866","866","2462000","866"
"1989-03-23","870","890","860","865","4205000","865"
"1989-03-24","875","878","863","872","2169000","872"
"1989-03-27","870","880","862","867","2048000","867"
"1989-03-28","887","911","880","904","5048000","904"
"1989-03-29","911","932","901","920","8684000","920"
"1989-03-30","920","965","910","958","16533000","958"
"1989-03-31","948","958","920","920","10269000","920"
"1989-04-03","949","952","928","928","9741000","928"
"1989-04-04","941","952","931","935","9288000","935"
"1989-04-05","945","960","938","940","8903000","940"
"1989-04-06","945","949","916","925","3610000","925"
"1989-04-07","930","941","920","930","3959000","930"
"1989-04-10","937","945","928","930","5115000","930"
"1989-04-11","945","974","945","955","24448000","955"
"1989-04-12","969","969","950","957","5495000","957"
"1989-04-13","960","960","930","931","1799000","931"
"1989-04-14","931","959","930","942","2712000","942"
"1989-04-17","962","982","951","980","19241000","980"
"1989-04-18","985","986","960","960","10691000","960"
"1989-04-19","975","986","960","962","15033000","962"
"1989-04-20","969","969","952","955","3291000","955"
"1989-04-21","950","983","942","965","10076000","965"
"1989-04-24","975","975","951","957","3107000","957"
"1989-04-25","967","992","965","986","16565000","986"
"1989-04-26","994","1010","981","1010","34580000","1010"
"1989-04-27","1000","1020","995","996","13384000","996"
"1989-04-28","1010","1020","997","1000","9912000","1000"
"1989-05-01","1000","1020","996","996","7258000","996"
"1989-05-02","1000","1010","988","989","6211000","989"
"1989-05-08","999","1010","991","991","4600000","991"
"1989-05-09","1000","1000","971","971","3773000","971"
"1989-05-10","975","984","973","979","3813000","979"
"1989-05-11","989","992","980","990","2836000","990"
"1989-05-12","1000","1010","980","982","8919000","982"
"1989-05-15","988","988","969","975","2070000","975"
"1989-05-16","985","985","975","975","1873000","975"
"1989-05-17","975","1000","975","989","5150000","989"
"1989-05-18","987","988","970","970","2314000","970"
"1989-05-19","967","970","965","966","1638000","966"
"1989-05-22","961","966","957","959","1034000","959"
"1989-05-23","959","959","930","944","2282000","944"
"1989-05-24","942","954","941","947","3933000","947"
"1989-05-25","953","965","953","960","3773000","960"
"1989-05-26","963","980","963","980","3574000","980"
"1989-05-29","990","994","981","985","8029000","985"
"1989-05-30","995","1010","980","983","8018000","983"
"1989-05-31","987","998","985","998","4019000","998"
"1989-06-01","1010","1010","951","971","7551000","971"
"1989-06-02","961","965","931","938","2216000","938"
"1989-06-05","935","949","928","930","1018000","930"
"1989-06-06","920","934","908","916","1639000","916"
"1989-06-07","926","932","916","918","2779000","918"
"1989-06-08","928","934","923","930","535000","930"
"1989-06-09","934","935","917","920","878000","920"
"1989-06-12","915","915","901","901","696000","901"
"1989-06-13","911","912","880","882","1627000","882"
"1989-06-14","883","891","871","878","1577000","878"
"1989-06-15","878","878","832","840","2259000","840"
"1989-06-16","850","860","830","849","2388000","849"
"1989-06-19","859","899","859","885","1967000","885"
"1989-06-20","894","914","894","900","3085000","900"
"1989-06-21","904","910","899","909","1575000","909"
"1989-06-22","914","921","910","915","2029000","915"
"1989-06-23","925","940","915","933","4381000","933"
"1989-06-26","943","954","940","946","2897000","946"
"1989-06-27","940","947","935","940","2568000","940"
"1989-06-28","945","946","917","925","3501000","925"
"1989-06-29","916","930","903","910","1239000","910"
"1989-06-30","900","908","866","885","1466000","885"
"1989-07-03","875","919","875","915","1789000","915"
"1989-07-04","925","925","903","918","1058000","918"
"1989-07-05","910","934","910","930","1518000","930"
"1989-07-06","940","945","916","920","2024000","920"
"1989-07-07","925","930","915","921","1196000","921"
"1989-07-10","941","941","920","920","1852000","920"
"1989-07-11","930","935","921","923","400000","923"
"1989-07-12","929","929","921","929","560000","929"
"1989-07-13","930","930","920","920","900000","920"
"1989-07-14","925","925","920","925","549000","925"
"1989-07-17","924","925","911","911","877000","911"
"1989-07-18","902","910","895","895","877000","895"
"1989-07-19","896","909","896","907","743000","907"
"1989-07-20","910","919","907","917","1652000","917"
"1989-07-21","920","945","912","938","3306000","938"
"1989-07-24","940","947","934","944","2355000","944"
"1989-07-25","944","958","940","953","4931000","953"
"1989-07-26","963","980","960","980","5782000","980"
"1989-07-27","981","992","975","976","7494000","976"
"1989-07-28","985","986","967","975","2030000","975"
"1989-07-31","975","975","966","969","1009000","969"
"1989-08-01","971","975","960","964","2491000","964"
"1989-08-02","965","985","956","961","1936000","961"
"1989-08-03","961","963","946","946","880000","946"
"1989-08-04","942","950","940","941","502000","941"
"1989-08-07","933","940","932","936","653000","936"
"1989-08-08","926","936","922","926","697000","926"
"1989-08-09","925","936","923","930","683000","930"
"1989-08-10","930","930","915","915","588000","915"
"1989-08-11","920","920","910","920","720000","920"
"1989-08-14","924","924","902","902","526000","902"
"1989-08-15","902","923","902","923","628000","923"
"1989-08-16","923","935","923","932","1922000","932"
"1989-08-17","937","939","928","928","1050000","928"
"1989-08-18","928","934","920","928","3086000","928"
"1989-08-21","928","935","926","926","650000","926"
"1989-08-22","925","926","920","926","527000","926"
