9101 è§ëDéOà‰,,,,,
"date","open","hight","low","close","power","End"
"2018-09-07","2860","2895","2846","2892","514299","2892"
"2018-09-10","2860","2915","2855","2898","526400","2898"
"2018-09-11","2906","2919","2887","2911","445200","2911"
"2018-09-12","2917","2923","2861","2869","663900","2869"
"2018-09-13","2870","3000","2869","2988","1236200","2988"
"2018-09-14","3040","3115","3025","3105","1576400","3105"
"2018-09-18","3070","3195","3060","3180","1352300","3180"
"2018-09-19","3230","3240","3150","3160","941299","3160"
"2018-09-20","3160","3170","3105","3165","857500","3165"
"2018-09-21","3190","3325","3160","3315","1912599","3315"
"2018-09-25","3295","3345","3280","3335","1059200","3335"
"2018-09-26","3320","3320","3240","3245","915799","3245"
"2018-09-27","3270","3310","3245","3270","924799","3270"
"2018-09-28","3295","3340","3255","3315","1050000","3315"
"2018-10-01","3335","3375","3300","3315","607299","3315"
"2018-10-02","3345","3360","3310","3330","769100","3330"
"2018-10-03","3280","3320","3260","3305","894299","3305"
"2018-10-04","3335","3350","3310","3330","844000","3330"
"2018-10-05","3285","3320","3270","3300","598600","3300"
"2018-10-09","3235","3260","3200","3255","851500","3255"
"2018-10-10","3265","3300","3245","3275","558200","3275"
"2018-10-11","3140","3165","3080","3125","1327700","3125"
"2018-10-12","3085","3120","3050","3115","937500","3115"
"2018-10-15","3100","3140","3080","3110","663200","3110"
"2018-10-16","3090","3185","3085","3180","853299","3180"
"2018-10-17","2995","3000","2856","2941","3746199","2941"
"2018-10-18","2946","2960","2841","2852","1540500","2852"
"2018-10-19","2802","2822","2780","2803","1417200","2803"
"2018-10-22","2789","2841","2781","2820","929400","2820"
"2018-10-23","2816","2816","2734","2742","1050700","2742"
"2018-10-24","2721","2734","2683","2707","1053800","2707"
"2018-10-25","2610","2651","2608","2626","1145900","2626"
"2018-10-26","2649","2654","2581","2608","1036599","2608"
"2018-10-29","2632","2675","2626","2652","959100","2652"
"2018-10-30","2625","2713","2624","2688","1291800","2688"
"2018-10-31","2690","2780","2646","2754","1366800","2754"
"2018-11-01","2733","2750","2648","2663","1099599","2663"
"2018-11-02","2672","2838","2650","2826","2132400","2826"
"2018-11-05","2804","2877","2772","2774","1386500","2774"
"2018-11-06","2772","2844","2771","2801","790500","2801"
"2018-11-07","2826","2887","2751","2765","1103700","2765"
"2018-11-08","2822","2840","2785","2789","745299","2789"
"2018-11-09","2789","2813","2771","2784","561100","2784"
"2018-11-12","2751","2760","2710","2718","910799","2718"
"2018-11-13","2640","2660","2581","2647","1499000","2647"
"2018-11-14","2650","2678","2617","2658","687400","2658"
"2018-11-15","2643","2655","2605","2629","645900","2629"
"2018-11-16","2660","2676","2625","2631","548500","2631"
"2018-11-19","2633","2668","2614","2615","662700","2615"
"2018-11-20","2592","2654","2588","2629","473700","2629"
"2018-11-21","2581","2608","2561","2580","1020100","2580"
"2018-11-22","2594","2601","2543","2551","712799","2551"
"2018-11-26","2564","2627","2558","2622","939299","2622"
"2018-11-27","2672","2730","2657","2675","1193500","2675"
"2018-11-28","2691","2742","2690","2699","925900","2699"
"2018-11-29","2720","2735","2673","2680","695700","2680"
"2018-11-30","2670","2679","2635","2669","883600","2669"
"2018-12-03","2717","2814","2712","2776","1349700","2776"
"2018-12-04","2814","2832","2663","2690","1215300","2690"
"2018-12-05","2640","2660","2579","2641","1227300","2641"
"2018-12-06","2624","2624","2567","2610","874600","2610"
"2018-12-07","2616","2629","2562","2590","670799","2590"
"2018-12-10","2549","2558","2502","2547","729400","2547"
"2018-12-11","2564","2576","2472","2524","987600","2524"
"2018-12-12","2531","2604","2531","2589","915400","2589"
"2018-12-13","2609","2652","2605","2642","811200","2642"
"2018-12-14","2606","2666","2574","2610","896500","2610"
"2018-12-17","2610","2651","2593","2602","493399","2602"
"2018-12-18","2537","2586","2483","2563","1184900","2563"
"2018-12-19","2630","2637","2538","2586","1250000","2586"
"2018-12-20","2537","2550","2392","2407","1481000","2407"
"2018-12-21","2358","2378","2301","2330","1754099","2330"
"2018-12-25","2201","2273","2163","2243","964600","2243"
"2018-12-26","2250","2317","2226","2267","725000","2267"
"2018-12-27","2384","2397","2362","2387","895799","2387"
"2018-12-28","2382","2435","2367","2399","645500","2399"
"2019-01-04","2300","2334","2251","2318","1113300","2318"
"2019-01-07","2413","2469","2407","2431","1030099","2431"
"2019-01-08","2481","2525","2470","2488","1170400","2488"
"2019-01-09","2500","2516","2465","2489","647500","2489"
"2019-01-10","2490","2523","2476","2511","831100","2511"
"2019-01-11","2511","2554","2492","2550","1100000","2550"
"2019-01-15","2526","2614","2496","2589","1100800","2589"
"2019-01-16","2620","2626","2527","2545","790299","2545"
"2019-01-17","2575","2585","2508","2516","1006799","2516"
"2019-01-18","2555","2619","2551","2585","964400","2585"
"2019-01-21","2649","2697","2643","2675","1154800","2675"
"2019-01-22","2698","2717","2632","2645","787200","2645"
"2019-01-23","2603","2655","2597","2630","832400","2630"
"2019-01-24","2595","2643","2567","2635","756799","2635"
"2019-01-25","2646","2688","2643","2661","681799","2661"
"2019-01-28","2671","2683","2615","2615","648900","2615"
"2019-01-29","2590","2614","2572","2609","732600","2609"
"2019-01-30","2630","2648","2588","2595","910200","2595"
"2019-01-31","2640","2778","2586","2712","2047900","2712"
"2019-02-01","2738","2744","2598","2630","1252900","2630"
"2019-02-04","2600","2623","2565","2595","1262000","2595"
"2019-02-05","2592","2664","2590","2626","967500","2626"
"2019-02-06","2648","2707","2636","2687","1243400","2687"
"2019-02-07","2674","2688","2618","2648","829200","2648"
"2019-02-08","2582","2584","2511","2540","1228700","2540"
"2019-02-12","2529","2608","2505","2572","1296300","2572"
"2019-02-13","2595","2615","2564","2583","1054900","2583"
"2019-02-14","2555","2589","2536","2580","870700","2580"
"2019-02-15","2572","2591","2555","2590","585299","2590"
"2019-02-18","2639","2652","2614","2634","770500","2634"
"2019-02-19","2650","2661","2628","2658","813100","2658"
"2019-02-20","2675","2699","2646","2649","666400","2649"
"2019-02-21","2647","2716","2626","2706","1056900","2706"
"2019-02-22","2656","2659","2633","2642","811000","2642"
"2019-02-25","2675","2709","2641","2665","838400","2665"
"2019-02-26","2683","2690","2636","2640","521700","2640"
"2019-02-27","2647","2667","2632","2653","588400","2653"
"2019-02-28","2653","2655","2598","2610","982799","2610"
"2019-03-01","2606","2620","2533","2552","1171900","2552"
"2019-03-04","2582","2596","2555","2578","735600","2578"
"2019-03-05","2576","2586","2545","2548","735100","2548"
"2019-03-06","2536","2573","2530","2570","961799","2570"
"2019-03-07","2542","2552","2506","2522","772700","2522"
"2019-03-08","2480","2506","2422","2447","2093800","2447"
"2019-03-11","2435","2435","2393","2410","980000","2410"
"2019-03-12","2440","2485","2437","2465","993500","2465"
"2019-03-13","2454","2491","2411","2435","765799","2435"
"2019-03-14","2453","2473","2416","2421","803100","2421"
"2019-03-15","2450","2450","2417","2419","650100","2419"
"2019-03-18","2431","2436","2406","2417","835900","2417"
"2019-03-19","2425","2433","2403","2405","682900","2405"
"2019-03-20","2402","2418","2400","2414","484500","2414"
"2019-03-22","2438","2471","2424","2457","1252500","2457"
"2019-03-25","2407","2407","2347","2382","1185599","2382"
"2019-03-26","2402","2470","2380","2452","1180300","2452"
"2019-03-27","2446","2455","2408","2427","673400","2427"
"2019-03-28","2392","2396","2337","2341","1213500","2341"
"2019-03-29","2365","2401","2365","2381","860100","2381"
"2019-04-01","2419","2468","2418","2447","935400","2447"
"2019-04-02","2500","2517","2466","2478","921799","2478"
"2019-04-03","2483","2584","2483","2562","1630900","2562"
"2019-04-04","2583","2633","2570","2613","1445900","2613"
"2019-04-05","2610","2675","2609","2668","1077000","2668"
"2019-04-08","2687","2694","2629","2637","788500","2637"
"2019-04-09","2590","2654","2590","2651","669600","2651"
"2019-04-10","2611","2655","2610","2655","582000","2655"
"2019-04-11","2625","2646","2598","2643","762400","2643"
"2019-04-12","2645","2665","2603","2651","742200","2651"
"2019-04-15","2689","2717","2672","2710","1060700","2710"
"2019-04-16","2707","2734","2692","2701","752900","2701"
"2019-04-17","2700","2777","2697","2768","1252599","2768"
"2019-04-18","2776","2777","2746","2752","615000","2752"
"2019-04-19","2775","2779","2740","2766","662299","2766"
"2019-04-22","2781","2841","2757","2828","1110599","2828"
"2019-04-23","2840","2847","2801","2818","977700","2818"
"2019-04-24","2851","2858","2805","2812","1282500","2812"
"2019-04-25","2810","2810","2767","2789","1138300","2789"
"2019-04-26","2787","2830","2758","2820","1518599","2820"
"2019-05-07","2775","2792","2712","2727","1539500","2727"
"2019-05-08","2664","2677","2647","2675","1459700","2675"
"2019-05-09","2620","2638","2573","2616","1408900","2616"
"2019-05-10","2588","2629","2556","2578","1120500","2578"
"2019-05-13","2570","2573","2531","2556","854700","2556"
"2019-05-14","2471","2553","2471","2551","1013900","2551"
"2019-05-15","2550","2570","2520","2565","917700","2565"
"2019-05-16","2577","2577","2496","2529","877700","2529"
"2019-05-17","2565","2591","2525","2565","887000","2565"
"2019-05-20","2570","2590","2543","2571","713200","2571"
"2019-05-21","2510","2513","2456","2469","1684599","2469"
"2019-05-22","2477","2479","2405","2434","1221900","2434"
"2019-05-23","2410","2427","2378","2402","1327900","2402"
"2019-05-24","2372","2400","2341","2380","853900","2380"
"2019-05-27","2389","2395","2365","2375","474600","2375"
"2019-05-28","2379","2393","2362","2362","722799","2362"
"2019-05-29","2335","2346","2314","2331","1154900","2331"
"2019-05-30","2306","2355","2306","2354","647200","2354"
"2019-05-31","2327","2342","2307","2316","1047500","2316"
"2019-06-03","2280","2293","2234","2255","1181500","2255"
"2019-06-04","2268","2319","2261","2318","1433500","2318"
"2019-06-05","2395","2420","2368","2401","1669599","2401"
"2019-06-06","2376","2399","2354","2365","741600","2365"
"2019-06-07","2364","2385","2351","2370","596400","2370"
"2019-06-10","2401","2413","2386","2396","791299","2396"
"2019-06-11","2394","2451","2393","2433","781799","2433"
"2019-06-12","2417","2433","2406","2420","599900","2420"
"2019-06-13","2418","2423","2351","2370","994299","2370"
"2019-06-14","2346","2364","2315","2360","836900","2360"
"2019-06-17","2340","2386","2340","2365","529799","2365"
"2019-06-18","2360","2388","2343","2355","600000","2355"
"2019-06-19","2400","2435","2398","2406","889500","2406"
"2019-06-20","2454","2463","2428","2457","995299","2457"
"2019-06-21","2474","2509","2461","2474","1299400","2474"
"2019-06-24","2476","2502","2469","2473","462500","2473"
"2019-06-25","2495","2503","2467","2472","650500","2472"
"2019-06-26","2455","2497","2448","2481","898100","2481"
"2019-06-27","2517","2568","2514","2567","1450300","2567"
"2019-06-28","2568","2591","2555","2579","832000","2579"
"2019-07-01","2639","2719","2631","2707","2081300","2707"
"2019-07-02","2691","2769","2690","2762","1277599","2762"
"2019-07-03","2718","2718","2683","2714","1151800","2714"
"2019-07-04","2759","2788","2744","2761","1105800","2761"
"2019-07-05","2778","2789","2748","2788","1076300","2788"
"2019-07-08","2786","2787","2738","2748","961500","2748"
"2019-07-09","2738","2738","2687","2700","971600","2700"
"2019-07-10","2675","2688","2652","2663","1388200","2663"
"2019-07-11","2649","2682","2639","2667","1060000","2667"
"2019-07-12","2698","2705","2646","2648","653600","2648"
"2019-07-16","2647","2655","2626","2637","735500","2637"
"2019-07-17","2632","2644","2604","2632","971299","2632"
"2019-07-18","2598","2599","2547","2563","1293700","2563"
"2019-07-19","2587","2615","2568","2597","1072700","2597"
"2019-07-22","2636","2640","2608","2613","892100","2613"
"2019-07-23","2637","2716","2626","2695","1970800","2695"
"2019-07-24","2745","2767","2724","2727","1271700","2727"
"2019-07-25","2737","2752","2705","2741","1151200","2741"
"2019-07-26","2702","2726","2694","2719","919900","2719"
"2019-07-29","2737","2745","2717","2737","938600","2737"
"2019-07-30","2751","2756","2700","2732","964200","2732"
"2019-07-31","2688","2726","2674","2687","1769500","2687"
"2019-08-01","2650","2674","2604","2655","1172000","2655"
"2019-08-02","2554","2564","2527","2560","2187000","2560"
"2019-08-05","2535","2543","2472","2508","1719800","2508"
"2019-08-06","2422","2492","2409","2492","1384000","2492"
"2019-08-07","2473","2473","2435","2464","1472900","2464"
"2019-08-08","2461","2470","2416","2427","1193900","2427"
"2019-08-09","2447","2459","2418","2427","866700","2427"
"2019-08-13","2388","2392","2349","2390","1449800","2390"
"2019-08-14","2450","2467","2415","2418","978600","2418"
"2019-08-15","2357","2408","2351","2408","847100","2408"
"2019-08-16","2400","2425","2390","2413","792200","2413"
"2019-08-19","2433","2447","2422","2445","779000","2445"
"2019-08-20","2474","2478","2440","2471","1446700","2471"
"2019-08-21","2459","2469","2436","2467","584500","2467"
"2019-08-22","2451","2463","2434","2454","540799","2454"
"2019-08-23","2480","2520","2469","2510","1271000","2510"
"2019-08-26","2411","2470","2395","2464","1243700","2464"
"2019-08-27","2490","2525","2489","2495","871600","2495"
"2019-08-28","2500","2505","2489","2498","744299","2498"
"2019-08-29","2500","2511","2484","2496","635299","2496"
"2019-08-30","2513","2519","2498","2502","1300800","2502"
"2019-09-02","2503","2541","2499","2524","934600","2524"
"2019-09-03","2530","2578","2530","2554","1043900","2554"
"2019-09-04","2554","2614","2542","2611","1268800","2611"
"2019-09-05","2648","2745","2648","2729","2165300","2729"
"2019-09-06","2728","2737","2696","2708","1257700","2708"
"2019-09-09","2708","2758","2704","2747","914700","2747"
"2019-09-10","2763","2819","2759","2808","1512500","2808"
"2019-09-11","2850","2896","2850","2887","1878099","2887"
"2019-09-12","2937","2954","2914","2916","1630400","2916"
"2019-09-13","2951","2957","2924","2939","1560400","2939"
"2019-09-17","2835","2913","2824","2879","1996099","2879"
"2019-09-18","2878","2933","2860","2900","1051300","2900"
"2019-09-19","2914","2959","2898","2908","1217099","2908"
"2019-09-20","2911","2930","2855","2861","1451900","2861"
"2019-09-24","2835","2865","2797","2805","1779000","2805"
"2019-09-25","2788","2810","2761","2794","1372900","2794"
"2019-09-26","2839","2869","2818","2820","1165000","2820"
"2019-09-27","2771","2790","2737","2770","1048900","2770"
"2019-09-30","2773","2807","2721","2730","1307000","2730"
"2019-10-01","2720","2789","2716","2775","1115200","2775"
"2019-10-02","2739","2760","2718","2760","1015000","2760"
"2019-10-03","2693","2767","2692","2762","1023200","2762"
"2019-10-04","2783","2795","2726","2740","1140200","2740"
