9107 êÏçËãDëD,,,,,
"date","open","hight","low","close","power","End"
"2018-09-07","2061","2091","2037","2050","626799","2050"
"2018-09-10","2034","2088","2025","2085","397100","2085"
"2018-09-11","2105","2136","2093","2136","459800","2136"
"2018-09-12","2154","2185","2133","2149","514200","2149"
"2018-09-13","2150","2215","2148","2191","514299","2191"
"2018-09-14","2212","2237","2187","2204","694500","2204"
"2018-09-18","2202","2273","2195","2260","535400","2260"
"2018-09-19","2297","2305","2238","2247","459700","2247"
"2018-09-20","2260","2267","2230","2256","378600","2256"
"2018-09-21","2267","2317","2256","2309","640799","2309"
"2018-09-25","2312","2320","2280","2312","629500","2312"
"2018-09-26","2314","2319","2273","2290","508600","2290"
"2018-09-27","2294","2317","2254","2257","551799","2257"
"2018-09-28","2300","2312","2262","2297","493000","2297"
"2018-10-01","2282","2299","2261","2266","355800","2266"
"2018-10-02","2278","2306","2266","2281","483100","2281"
"2018-10-03","2269","2279","2237","2240","356700","2240"
"2018-10-04","2262","2314","2249","2296","478300","2296"
"2018-10-05","2274","2285","2221","2221","509899","2221"
"2018-10-09","2181","2184","2123","2158","1015200","2158"
"2018-10-10","2162","2182","2138","2170","675299","2170"
"2018-10-11","2109","2132","2078","2089","701100","2089"
"2018-10-12","2065","2102","2062","2102","547500","2102"
"2018-10-15","2092","2099","2067","2081","589100","2081"
"2018-10-16","2060","2109","2057","2109","439899","2109"
"2018-10-17","1938","1938","1800","1806","3707199","1806"
"2018-10-18","1800","1803","1725","1768","1923800","1768"
"2018-10-19","1767","1767","1711","1726","979900","1726"
"2018-10-22","1720","1776","1701","1771","977299","1771"
"2018-10-23","1755","1755","1650","1652","1378900","1652"
"2018-10-24","1656","1659","1597","1602","1515300","1602"
"2018-10-25","1535","1569","1515","1521","1422200","1521"
"2018-10-26","1539","1546","1502","1518","1188200","1518"
"2018-10-29","1519","1546","1503","1519","773700","1519"
"2018-10-30","1489","1528","1473","1527","2613500","1527"
"2018-10-31","1544","1544","1488","1509","1330900","1509"
"2018-11-01","1480","1531","1480","1522","917100","1522"
"2018-11-02","1526","1616","1505","1614","1249700","1614"
"2018-11-05","1593","1650","1593","1622","709600","1622"
"2018-11-06","1622","1683","1622","1649","560100","1649"
"2018-11-07","1666","1710","1662","1671","1020700","1671"
"2018-11-08","1705","1718","1660","1667","768299","1667"
"2018-11-09","1678","1707","1676","1697","637400","1697"
"2018-11-12","1668","1688","1652","1660","502200","1660"
"2018-11-13","1618","1643","1591","1639","579600","1639"
"2018-11-14","1638","1680","1622","1660","503800","1660"
"2018-11-15","1644","1670","1614","1623","471100","1623"
"2018-11-16","1615","1642","1599","1608","532299","1608"
"2018-11-19","1605","1626","1568","1587","617500","1587"
"2018-11-20","1571","1641","1569","1599","541900","1599"
"2018-11-21","1563","1578","1543","1551","577500","1551"
"2018-11-22","1540","1549","1508","1513","562299","1513"
"2018-11-26","1526","1577","1526","1569","776400","1569"
