9202 ANA HD(‘S“ú–{‹ó—A),,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1860","1870","1850","1860","527000","1860","1"
"1989-02-20","1890","1890","1840","1850","824000","1850","2"
"1989-02-21","1880","1880","1830","1830","690000","1830","3"
"1989-02-22","1850","1870","1840","1870","802000","1870","4"
"1989-02-23","1860","1860","1840","1860","640000","1860","5"
"1989-02-27","1860","1870","1840","1840","486000","1840","7"
"1989-02-28","1870","1870","1840","1860","367000","1860","8"
"1989-03-01","1860","1860","1840","1860","535000","1860","9"
"1989-03-02","1850","1850","1820","1840","261000","1840","10"
"1989-03-03","1840","1850","1820","1850","403000","1850","11"
"1989-03-06","1830","1840","1800","1800","328000","1800","12"
"1989-03-07","1800","1800","1780","1780","475000","1780","13"
"1989-03-08","1780","1800","1770","1780","302000","1780","14"
"1989-03-09","1770","1780","1750","1750","306000","1750","15"
"1989-03-10","1750","1810","1750","1790","362000","1790","16"
"1989-03-13","1770","1780","1760","1760","231000","1760","17"
"1989-03-14","1760","1800","1760","1800","386000","1800","18"
"1989-03-15","1820","1820","1770","1780","422000","1780","19"
"1989-03-16","1790","1850","1790","1810","1469000","1810","20"
"1989-03-17","1810","1830","1790","1790","783000","1790","21"
"1989-03-20","1780","1800","1760","1790","455000","1790","22"
"1989-03-22","1770","1790","1760","1770","1081000","1770","24"
"1989-03-23","1790","1790","1750","1770","650000","1770","25"
"1989-03-24","1770","1780","1750","1750","861000","1750","26"
"1989-03-27","1770","1780","1690","1710","1208000","1710","27"
"1989-03-28","1770","1800","1710","1800","416000","1800","28"
"1989-03-29","1790","1790","1760","1770","258000","1770","29"
"1989-03-30","1800","1800","1770","1770","457000","1770","30"
"1989-03-31","1800","1800","1750","1780","566000","1780","31"
"1989-04-03","1790","1800","1750","1760","555000","1760","32"
"1989-04-04","1790","1810","1770","1780","523000","1780","33"
"1989-04-05","1810","1810","1790","1800","666000","1800","34"
"1989-04-06","1800","1820","1790","1810","644000","1810","35"
"1989-04-07","1820","1830","1800","1800","622000","1800","36"
"1989-04-10","1830","1830","1810","1810","298000","1810","37"
"1989-04-11","1820","1830","1810","1820","422000","1820","38"
"1989-04-12","1830","1840","1810","1840","612000","1840","39"
"1989-04-13","1840","1840","1810","1810","500000","1810","40"
"1989-04-14","1820","1830","1810","1830","734000","1830","41"
"1989-04-17","1830","1830","1800","1820","558000","1820","42"
"1989-04-18","1820","1820","1790","1790","763000","1790","43"
"1989-04-19","1770","1800","1770","1780","285000","1780","44"
"1989-04-20","1790","1800","1780","1790","420000","1790","45"
"1989-04-21","1790","1810","1780","1800","803000","1800","46"
"1989-04-24","1820","1820","1790","1810","694000","1810","47"
"1989-04-25","1820","1820","1780","1810","708000","1810","48"
"1989-04-26","1810","1830","1790","1830","538000","1830","49"
"1989-04-27","1830","1840","1790","1830","1048000","1830","50"
"1989-04-28","1830","1840","1820","1830","841000","1830","51"
"1989-05-01","1840","1920","1830","1910","2790000","1910","52"
"1989-05-02","1920","1930","1900","1900","1805000","1900","53"
"1989-05-08","1910","1920","1900","1910","808000","1910","57"
"1989-05-09","1910","1910","1880","1890","729000","1890","58"
"1989-05-10","1890","1900","1880","1880","508000","1880","59"
"1989-05-11","1880","1900","1860","1870","654000","1870","60"
"1989-05-12","1870","1870","1860","1860","406000","1860","61"
"1989-05-15","1870","1870","1820","1850","519000","1850","62"
"1989-05-16","1880","1880","1860","1880","509000","1880","63"
"1989-05-17","1900","1900","1860","1890","728000","1890","64"
"1989-05-18","1890","1890","1850","1880","622000","1880","65"
"1989-05-19","1880","1890","1860","1880","582000","1880","66"
"1989-05-22","1890","1890","1850","1860","394000","1860","67"
"1989-05-23","1840","1870","1830","1830","738000","1830","68"
"1989-05-24","1840","1840","1830","1830","551000","1830","69"
"1989-05-25","1830","1830","1810","1830","473000","1830","70"
"1989-05-26","1860","1880","1840","1850","533000","1850","71"
"1989-05-29","1860","1870","1860","1860","764000","1860","72"
"1989-05-30","1860","1890","1850","1850","838000","1850","73"
"1989-05-31","1860","1860","1820","1840","453000","1840","74"
"1989-06-01","1830","1840","1810","1830","257000","1830","75"
"1989-06-02","1800","1850","1800","1830","1083000","1830","76"
"1989-06-05","1810","1830","1810","1830","435000","1830","77"
"1989-06-06","1830","1840","1810","1820","378000","1820","78"
"1989-06-07","1820","1840","1800","1800","639000","1800","79"
"1989-06-08","1830","1840","1810","1830","287000","1830","80"
"1989-06-09","1840","1860","1840","1850","379000","1850","81"
"1989-06-12","1810","1840","1800","1810","230000","1810","82"
"1989-06-13","1830","1850","1810","1840","500000","1840","83"
"1989-06-14","1820","1840","1800","1830","445000","1830","84"
"1989-06-15","1840","1840","1810","1840","380000","1840","85"
"1989-06-16","1840","1840","1800","1830","660000","1830","86"
"1989-06-19","1810","1820","1800","1810","257000","1810","87"
"1989-06-20","1810","1820","1800","1800","324000","1800","88"
"1989-06-21","1800","1820","1800","1810","217000","1810","89"
"1989-06-22","1800","1810","1790","1800","410000","1800","90"
"1989-06-23","1810","1830","1800","1810","580000","1810","91"
"1989-06-26","1810","1820","1800","1820","576000","1820","92"
"1989-06-27","1820","1830","1800","1800","366000","1800","93"
"1989-06-28","1780","1800","1770","1800","444000","1800","94"
"1989-06-29","1780","1800","1770","1770","703000","1770","95"
"1989-06-30","1770","1780","1750","1760","431000","1760","96"
"1989-07-03","1760","1780","1750","1760","210000","1760","97"
"1989-07-04","1770","1800","1760","1790","379000","1790","98"
"1989-07-05","1790","1810","1790","1790","356000","1790","99"
"1989-07-06","1800","1820","1800","1820","405000","1820","100"
"1989-07-07","1830","1830","1800","1800","497000","1800","101"
"1989-07-10","1800","1810","1790","1800","363000","1800","102"
"1989-07-11","1800","1830","1800","1820","410000","1820","103"
"1989-07-12","1820","1830","1810","1810","498000","1810","104"
"1989-07-13","1810","1820","1800","1800","327000","1800","105"
"1989-07-14","1800","1800","1790","1790","368000","1790","106"
"1989-07-17","1790","1800","1780","1780","474000","1780","107"
"1989-07-18","1770","1790","1760","1790","340000","1790","108"
"1989-07-19","1770","1800","1770","1780","225000","1780","109"
"1989-07-20","1790","1790","1780","1790","375000","1790","110"
"1989-07-21","1780","1820","1780","1790","725000","1790","111"
"1989-07-24","1800","1820","1780","1810","453000","1810","112"
"1989-07-25","1830","1840","1820","1820","919000","1820","113"
"1989-07-26","1840","1850","1820","1820","1322000","1820","114"
"1989-07-27","1840","1850","1820","1840","1173000","1840","115"
"1989-07-28","1850","1850","1820","1840","745000","1840","116"
"1989-07-31","1850","1880","1830","1880","975000","1880","117"
"1989-08-01","1880","1890","1870","1890","1517000","1890","118"
"1989-08-02","1890","1950","1890","1950","5562000","1950","119"
"1989-08-03","1940","1940","1880","1900","1188000","1900","120"
"1989-08-04","1870","1900","1860","1870","484000","1870","121"
"1989-08-07","1860","1870","1860","1870","201000","1870","122"
"1989-08-08","1880","1890","1860","1890","565000","1890","123"
"1989-08-09","1890","1890","1860","1860","383000","1860","124"
"1989-08-10","1870","1880","1860","1860","351000","1860","125"
