9412 スカパーJSAT HD,,,,,
"date","open","hight","low","close","power","End","date_position"
"2007-04-03","657","659","615","625","2252400","625","4710"
"2007-04-04","629","633","600","617","2076199","617","4711"
"2007-04-05","615","616","600","605","2152000","605","4712"
"2007-04-06","605","610","585","592","1456800","592","4713"
"2007-04-09","592","600","576","585","1655200","585","4714"
"2007-04-10","585","592","572","576","1235000","576","4715"
"2007-04-11","605","626","600","626","3613500","626","4716"
"2007-04-12","631","634","606","613","1741000","613","4717"
"2007-04-13","618","619","604","606","968700","606","4718"
"2007-04-16","610","615","603","606","495100","606","4719"
"2007-04-17","606","608","597","601","529400","601","4720"
"2007-04-18","601","603","588","599","875799","599","4721"
"2007-04-19","595","599","587","599","417500","599","4722"
"2007-04-20","595","602","591","599","407300","599","4723"
"2007-04-23","589","602","589","602","701299","602","4724"
"2007-04-24","600","616","596","612","797500","612","4725"
"2007-04-25","616","616","600","607","510600","607","4726"
"2007-04-26","602","607","592","594","524500","594","4727"
"2007-04-27","590","596","588","594","421500","594","4728"
"2007-05-01","596","606","591","603","658900","603","4730"
"2007-05-02","598","600","590","593","369399","593","4731"
"2007-05-07","591","594","587","590","431800","590","4734"
"2007-05-08","595","629","589","621","1375300","621","4735"
"2007-05-09","616","616","603","609","689600","609","4736"
"2007-05-10","604","606","598","602","500700","602","4737"
"2007-05-11","601","601","593","597","496399","597","4738"
"2007-05-14","597","599","590","590","557100","590","4739"
"2007-05-15","585","590","577","579","560299","579","4740"
"2007-05-16","578","583","574","580","342600","580","4741"
"2007-05-17","576","583","563","578","724200","578","4742"
"2007-05-18","573","573","554","556","594600","556","4743"
"2007-05-21","555","558","541","543","682000","543","4744"
"2007-05-22","538","553","537","548","494000","548","4745"
"2007-05-23","547","562","547","560","562299","560","4746"
"2007-05-24","555","558","549","549","446300","549","4747"
"2007-05-25","545","546","526","531","702900","531","4748"
"2007-05-28","530","534","521","527","649400","527","4749"
"2007-05-29","524","535","524","532","427800","532","4750"
"2007-05-30","533","540","524","540","628200","540","4751"
"2007-05-31","545","553","541","550","678299","550","4752"
"2007-06-01","557","565","552","558","570700","558","4753"
"2007-06-04","573","573","563","563","313300","563","4754"
"2007-06-05","566","567","544","547","525700","547","4755"
"2007-06-06","546","546","536","538","489399","538","4756"
"2007-06-07","533","542","531","541","503200","541","4757"
"2007-06-08","540","540","530","534","1175900","534","4758"
"2007-06-11","535","538","529","533","341800","533","4759"
"2007-06-12","534","537","528","528","370500","528","4760"
"2007-06-13","526","534","522","522","510899","522","4761"
"2007-06-14","525","530","522","523","530299","523","4762"
"2007-06-15","528","529","522","525","390399","525","4763"
"2007-06-18","529","532","521","525","625000","525","4764"
"2007-06-19","527","527","519","522","422399","522","4765"
"2007-06-20","527","554","527","551","1623500","551","4766"
"2007-06-21","549","555","540","543","678100","543","4767"
"2007-06-22","553","565","549","562","831700","562","4768"
"2007-06-25","558","561","551","553","535299","553","4769"
"2007-06-26","550","551","540","541","286100","541","4770"
"2007-06-27","541","544","537","541","550400","541","4771"
"2007-06-28","544","553","538","545","335700","545","4772"
"2007-06-29","549","586","546","576","1176400","576","4773"
"2007-07-02","571","574","562","567","490600","567","4774"
"2007-07-03","562","564","547","549","419500","549","4775"
"2007-07-04","549","549","533","538","551700","538","4776"
"2007-07-05","534","545","533","539","375000","539","4777"
"2007-07-06","530","531","516","520","1211500","520","4778"
"2007-07-09","524","524","517","521","803500","521","4779"
"2007-07-10","520","522","518","521","480100","521","4780"
"2007-07-11","526","527","519","520","704500","520","4781"
"2007-07-12","523","526","519","522","372800","522","4782"
"2007-07-13","526","526","521","521","351399","521","4783"
"2007-07-17","521","522","516","518","392399","518","4785"
"2007-07-18","519","521","506","506","573900","506","4786"
