9432 NTT,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","17000","17100","16800","16800","1191000","16800","1"
"1989-02-20","16700","16800","16200","16400","1839000","16400","2"
"1989-02-21","16200","16300","16100","16200","1472000","16200","3"
"1989-02-22","16200","16200","16000","16100","1760599","16100","4"
"1989-02-23","16100","16800","16100","16800","1441500","16800","5"
"1989-02-27","16800","17000","16600","16800","657900","16800","7"
"1989-02-28","16800","16900","16600","16600","446399","16600","8"
"1989-03-01","16700","16800","16500","16500","476000","16500","9"
"1989-03-02","16500","16700","16300","16500","678799","16500","10"
"1989-03-03","16500","16600","16400","16400","411700","16400","11"
"1989-03-06","16400","16400","16200","16200","465200","16200","12"
"1989-03-07","16100","16600","16100","16300","1159800","16300","13"
"1989-03-08","16400","16500","16300","16300","668400","16300","14"
"1989-03-09","16300","16400","16200","16200","502500","16200","15"
"1989-03-10","16200","16300","16100","16100","514500","16100","16"
"1989-03-13","16100","16200","16100","16100","1049300","16100","17"
"1989-03-14","16100","16200","16100","16100","713200","16100","18"
"1989-03-15","16100","16200","16100","16100","833000","16100","19"
"1989-03-16","16200","16400","16100","16200","724100","16200","20"
"1989-03-17","16200","16300","16100","16100","742200","16100","21"
"1989-03-20","16100","16200","16000","16000","754799","16000","22"
"1989-03-22","16000","16100","15800","15800","1059500","15800","24"
"1989-03-23","15800","16000","15700","16000","1527099","16000","25"
"1989-03-24","16000","16000","15700","15700","843299","15700","26"
"1989-03-27","15700","15800","15200","15300","1436300","15300","27"
"1989-03-28","15200","15300","14900","15200","1407700","15200","28"
"1989-03-29","15100","15500","14900","15100","1282400","15100","29"
"1989-03-30","15200","15700","15200","15600","563900","15600","30"
"1989-03-31","15600","15800","15300","15500","880700","15500","31"
"1989-04-03","15400","15500","15200","15200","457600","15200","32"
"1989-04-04","15300","15400","15200","15300","406300","15300","33"
"1989-04-05","15300","15300","15100","15100","2137500","15100","34"
"1989-04-06","15200","15300","15100","15200","445000","15200","35"
"1989-04-07","15200","15200","15000","15000","587900","15000","36"
"1989-04-10","15000","15100","15000","15000","446800","15000","37"
"1989-04-11","15000","15100","14900","14900","637400","14900","38"
"1989-04-12","14900","15000","14700","14800","751900","14800","39"
"1989-04-13","14800","14900","14500","14500","731400","14500","40"
"1989-04-14","14500","14600","14000","14200","1583500","14200","41"
"1989-04-17","14300","14400","14200","14400","514600","14400","42"
"1989-04-18","14300","14400","14300","14300","510000","14300","43"
"1989-04-19","14300","14400","14200","14200","381700","14200","44"
"1989-04-20","14300","14300","14200","14200","397000","14200","45"
"1989-04-21","14200","14300","14100","14100","664200","14100","46"
"1989-04-24","14100","14300","14100","14300","426200","14300","47"
"1989-04-25","14700","15600","14700","15600","1630700","15600","48"
"1989-04-26","15800","15900","15500","15700","1101900","15700","49"
"1989-04-27","15700","15700","15500","15500","567400","15500","50"
"1989-04-28","15500","15800","15500","15600","521000","15600","51"
"1989-05-01","15700","15800","15600","15700","438700","15700","52"
"1989-05-02","15700","15700","15600","15700","426899","15700","53"
"1989-05-08","15600","15700","15500","15600","329899","15600","57"
"1989-05-09","15600","15600","15300","15300","352500","15300","58"
"1989-05-10","15300","15400","15100","15100","250600","15100","59"
"1989-05-11","15100","15200","15000","15100","281600","15100","60"
"1989-05-12","15000","15100","14900","15000","238600","15000","61"
"1989-05-15","15000","15000","14800","14800","190300","14800","62"
"1989-05-16","14800","14900","14800","14900","197100","14900","63"
"1989-05-17","14900","14900","14800","14800","234100","14800","64"
"1989-05-18","14900","14900","14700","14700","378399","14700","65"
"1989-05-19","14700","14700","14500","14600","420399","14600","66"
"1989-05-22","14500","14600","14500","14600","302200","14600","67"
"1989-05-23","14600","15000","14500","15000","468399","15000","68"
"1989-05-24","15200","15200","14800","14800","323200","14800","69"
"1989-05-25","15000","15000","14800","14900","245900","14900","70"
"1989-05-26","15000","15300","15000","15100","354800","15100","71"
"1989-05-29","15200","15400","15000","15000","507399","15000","72"
"1989-05-30","15100","15200","15000","15100","267300","15100","73"
"1989-05-31","15000","15100","14800","14900","270500","14900","74"
"1989-06-01","15000","15000","14800","14800","241500","14800","75"
"1989-06-02","14900","15100","14800","14800","242400","14800","76"
"1989-06-05","15000","15100","14900","14900","224800","14900","77"
"1989-06-06","14900","15000","14900","14900","154300","14900","78"
"1989-06-07","15000","15100","14900","14900","253800","14900","79"
"1989-06-08","14900","15100","14900","14900","214400","14900","80"
"1989-06-09","15000","15000","14800","14800","257500","14800","81"
"1989-06-12","15000","15000","14800","14900","172699","14900","82"
"1989-06-13","14900","15000","14800","14800","183900","14800","83"
"1989-06-14","14900","14900","14800","14800","161800","14800","84"
"1989-06-15","14800","14900","14500","14500","328700","14500","85"
"1989-06-16","14900","14900","14600","14600","218199","14600","86"
"1989-06-19","14600","14700","14500","14600","127599","14600","87"
"1989-06-20","14600","14700","14500","14600","188000","14600","88"
"1989-06-21","14600","14700","14500","14500","317399","14500","89"
"1989-06-22","14600","14600","14500","14500","259000","14500","90"
"1989-06-23","14500","14600","14500","14500","311100","14500","91"
"1989-06-26","14500","14700","14500","14700","387000","14700","92"
"1989-06-27","14800","15100","14700","14700","470800","14700","93"
"1989-06-28","14700","14800","14600","14700","269100","14700","94"
"1989-06-29","14700","15000","14600","15000","260700","15000","95"
"1989-06-30","14800","14900","14700","14700","228699","14700","96"
"1989-07-03","14600","14800","14600","14700","133300","14700","97"
"1989-07-04","14700","14800","14600","14600","217699","14600","98"
"1989-07-05","14800","14800","14600","14600","233000","14600","99"
"1989-07-06","14700","14800","14600","14600","218199","14600","100"
"1989-07-07","14800","14800","14500","14700","502200","14700","101"
"1989-07-10","14700","14800","14600","14700","200800","14700","102"
"1989-07-11","14700","14700","14500","14700","300399","14700","103"
"1989-07-12","14700","14700","14500","14500","250199","14500","104"
"1989-07-13","14600","14600","14500","14500","145600","14500","105"
"1989-07-14","14500","14700","14500","14600","206900","14600","106"
"1989-07-17","14600","14700","14500","14500","128199","14500","107"
"1989-07-18","14500","14600","14500","14500","202699","14500","108"
"1989-07-19","14500","14600","14500","14500","244100","14500","109"
"1989-07-20","14500","14600","14500","14600","223100","14600","110"
"1989-07-21","14500","14600","14500","14600","349800","14600","111"
"1989-07-24","14600","14800","14600","14700","407399","14700","112"
"1989-07-25","14700","15700","14600","15500","1752000","15500","113"
"1989-07-26","15600","15800","15200","15600","1665400","15600","114"
"1989-07-27","15700","15700","15500","15500","545900","15500","115"
"1989-07-28","15600","16200","15600","16000","2317900","16000","116"
