9433 KDDI,,,,,
"date","open","hight","low","close","power","End","date_position"
"1993-09-06","5610","5930","5600","5800","354399","5800","1182"
"1993-09-07","5830","5830","5730","5800","146100","5800","1183"
"1993-09-08","5820","6530","5760","6530","404399","6530","1184"
"1993-09-09","6500","6650","6360","6500","304399","6500","1185"
"1993-09-10","6410","6620","6370","6380","147500","6380","1186"
"1993-09-13","6400","6440","6070","6400","108500","6400","1187"
"1993-09-14","6270","6390","6200","6200","43600","6200","1188"
"1993-09-16","6150","6220","6090","6120","40100","6120","1190"
"1993-09-17","6120","6170","6040","6080","72800","6080","1191"
"1993-09-20","6080","6100","5800","5850","60900","5850","1192"
"1993-09-21","5880","5940","5790","5800","86700","5800","1193"
"1993-09-22","5770","5810","5520","5800","75300","5800","1194"
"1993-09-24","5850","6050","5800","6050","20399","6050","1196"
"1993-09-27","6100","6110","5830","5830","34000","5830","1197"
"1993-09-28","5870","6030","5860","6000","26000","6000","1198"
"1993-09-29","6010","6180","5990","6180","64400","6180","1199"
"1993-09-30","6280","6380","6240","6320","101300","6320","1200"
"1993-10-01","6320","6350","6230","6270","69099","6270","1201"
"1993-10-04","6160","6200","6120","6150","22700","6150","1202"
"1993-10-05","6150","6180","6140","6180","27300","6180","1203"
"1993-10-06","6180","6270","6160","6240","29899","6240","1204"
"1993-10-07","6260","6260","6100","6140","22500","6140","1205"
"1993-10-08","6120","6170","6090","6150","23000","6150","1206"
"1993-10-12","6170","6250","6170","6230","31899","6230","1208"
"1993-10-13","6260","6400","6230","6350","115900","6350","1209"
"1993-10-14","6320","6470","6300","6460","125200","6460","1210"
"1993-10-15","6490","6880","6450","6780","345500","6780","1211"
"1993-10-18","6870","6960","6720","6780","202900","6780","1212"
"1993-10-19","6720","6810","6690","6730","89400","6730","1213"
"1993-10-20","6660","6710","6600","6660","66200","6660","1214"
"1993-10-21","6630","6650","6500","6510","36600","6510","1215"
"1993-10-22","6500","6570","6450","6550","43000","6550","1216"
"1993-10-25","6570","6580","6500","6520","31300","6520","1217"
"1993-10-26","6420","6480","6250","6300","33700","6300","1218"
"1993-10-27","6360","6400","6250","6300","23399","6300","1219"
"1993-10-28","6330","6330","6250","6260","15699","6260","1220"
"1993-10-29","6330","6340","6270","6330","17399","6330","1221"
"1993-11-01","6330","6330","6250","6300","4900","6300","1222"
"1993-11-02","6250","6350","6110","6200","34600","6200","1223"
"1993-11-04","6200","6200","6100","6200","18100","6200","1225"
"1993-11-05","6100","6100","6000","6100","26399","6100","1226"
"1993-11-08","6100","6100","6020","6050","4300","6050","1227"
"1993-11-09","6030","6050","5990","6010","23500","6010","1228"
"1993-11-10","5990","6050","5970","6000","32600","6000","1229"
"1993-11-11","6000","6020","5970","5990","20000","5990","1230"
"1993-11-12","6010","6250","6000","6240","43200","6240","1231"
"1993-11-15","6250","6250","6070","6090","14100","6090","1232"
"1993-11-16","6050","6100","6030","6090","14500","6090","1233"
"1993-11-17","6100","6200","6090","6200","20399","6200","1234"
"1993-11-18","6190","6190","6140","6170","11800","6170","1235"
"1993-11-19","6150","6150","6070","6070","7900","6070","1236"
"1993-11-22","6040","6040","5930","5970","20500","5970","1237"
"1993-11-24","5950","6030","5950","5990","9500","5990","1239"
"1993-11-25","5930","5930","5860","5870","20800","5870","1240"
"1993-11-26","5590","5600","5350","5360","15300","5360","1241"
"1993-11-29","5100","5100","4850","5010","18200","5010","1242"
"1993-11-30","5310","5570","5290","5550","16000","5550","1243"
"1993-12-01","5730","5740","5630","5710","14900","5710","1244"
"1993-12-02","5700","6000","5700","5700","18300","5700","1245"
"1993-12-03","5650","5800","5610","5800","17700","5800","1246"
"1993-12-06","5900","5940","5770","5900","23700","5900","1247"
"1993-12-07","5880","5950","5800","5800","20200","5800","1248"
"1993-12-08","5900","5950","5800","5950","46299","5950","1249"
"1993-12-09","5910","6000","5850","5900","35700","5900","1250"
"1993-12-10","5900","5900","5800","5830","13000","5830","1251"
"1993-12-13","5830","5830","5700","5700","10699","5700","1252"
"1993-12-14","5800","5800","5670","5700","10400","5700","1253"
"1993-12-15","5710","5760","5690","5760","23500","5760","1254"
"1993-12-16","5810","5850","5740","5800","13300","5800","1255"
"1993-12-17","5900","6110","5860","6100","65000","6100","1256"
"1993-12-20","6100","6100","5900","5900","38200","5900","1257"
"1993-12-21","5860","5860","5660","5680","12000","5680","1258"
"1993-12-22","5700","5850","5700","5850","17800","5850","1259"
"1993-12-24","5850","5970","5810","5970","7900","5970","1261"
"1993-12-27","5990","5990","5760","5800","42900","5800","1262"
"1993-12-28","5830","5950","5830","5950","36100","5950","1263"
"1993-12-29","5950","5970","5900","5970","4800","5970","1264"
"1993-12-30","6000","6010","5970","5970","31899","5970","1265"
"1994-01-04","6000","6070","5980","6060","32200","6060","1268"
"1994-01-05","6100","6250","6090","6250","103400","6250","1269"
"1994-01-06","6350","6400","6310","6350","145800","6350","1270"
"1994-01-07","6340","6470","6330","6470","63400","6470","1271"
"1994-01-10","6570","6720","6540","6650","130400","6650","1272"
"1994-01-11","6740","6750","6640","6740","87900","6740","1273"
"1994-01-12","6700","6720","6650","6650","37700","6650","1274"
"1994-01-13","6700","6710","6610","6650","23000","6650","1275"
