9437 NTTƒhƒRƒ‚,,,,,
"date","open","hight","low","close","power","End","date_position"
"1998-10-23","9100","9160","8900","8900","6675500","8900","2516"
"1998-10-26","8500","8540","8100","8400","7129000","8400","2517"
"1998-10-27","8460","8660","8460","8540","3591000","8540","2518"
"1998-10-28","8580","8620","8460","8480","2228000","8480","2519"
"1998-10-29","8400","8420","8360","8400","2379500","8400","2520"
"1998-10-30","8440","8560","8380","8420","2207500","8420","2521"
"1998-11-02","8420","8480","8360","8460","946500","8460","2522"
"1998-11-04","8600","8740","8560","8740","2416000","8740","2524"
"1998-11-05","8840","8940","8740","8900","3273000","8900","2525"
"1998-11-06","8980","9040","8940","8960","3131500","8960","2526"
"1998-11-09","8980","8980","8780","8820","669000","8820","2527"
"1998-11-10","8860","8980","8840","8940","1421000","8940","2528"
"1998-11-11","8920","9000","8920","8980","1610000","8980","2529"
"1998-11-12","8980","9040","8700","8860","2930000","8860","2530"
"1998-11-13","8860","8960","8860","8920","943500","8920","2531"
"1998-11-16","8960","8980","8900","8980","801500","8980","2532"
"1998-11-17","8980","8980","8880","8960","695500","8960","2533"
"1998-11-18","8960","9000","8960","9000","1471000","9000","2534"
"1998-11-19","9000","9020","8940","8980","1861500","8980","2535"
"1998-11-20","9000","9000","8960","8980","1222000","8980","2536"
"1998-11-24","9040","9060","8980","8980","1699000","8980","2538"
"1998-11-25","8980","9000","8960","8980","873000","8980","2539"
"1998-11-26","9000","9040","8980","9040","1575000","9040","2540"
"1998-11-27","9060","9240","9020","9180","3618000","9180","2541"
"1998-11-30","9280","9440","9280","9400","2610500","9400","2542"
"1998-12-01","9500","9780","9480","9700","5581500","9700","2543"
"1998-12-02","9680","9740","9560","9720","2201000","9720","2544"
"1998-12-03","9700","9700","9500","9600","1480000","9600","2545"
"1998-12-04","9520","9580","9500","9520","1056500","9520","2546"
"1998-12-07","9560","9580","9520","9540","612000","9540","2547"
"1998-12-08","9560","9580","9540","9540","827000","9540","2548"
"1998-12-09","9540","9560","9360","9420","1353500","9420","2549"
"1998-12-10","9400","9420","9320","9360","1670000","9360","2550"
"1998-12-11","9400","9520","9240","9240","2497000","9240","2551"
"1998-12-14","9280","9340","9240","9240","615500","9240","2552"
"1998-12-15","9260","9300","9160","9220","1333000","9220","2553"
"1998-12-16","9260","9420","9260","9400","782500","9400","2554"
"1998-12-17","9400","9400","9220","9280","1138500","9280","2555"
"1998-12-18","9340","9340","9280","9280","609500","9280","2556"
"1998-12-21","9300","9360","9260","9360","615000","9360","2557"
"1998-12-22","9360","9360","9240","9280","782500","9280","2558"
"1998-12-24","9320","9340","9280","9300","777000","9300","2560"
"1998-12-25","9300","9340","9280","9300","446500","9300","2561"
"1998-12-28","9300","9300","9120","9160","623000","9160","2562"
"1998-12-29","9180","9240","9140","9240","546500","9240","2563"
"1998-12-30","9280","9300","9200","9300","262000","9300","2564"
"1999-01-04","9300","9300","9200","9200","154500","9200","2566"
"1999-01-05","9000","9000","8680","8800","1638500","8800","2567"
"1999-01-06","8800","8820","8600","8700","1772000","8700","2568"
"1999-01-07","8800","8940","8800","8920","1833500","8920","2569"
"1999-01-08","8980","9120","8940","9020","976000","9020","2570"
"1999-01-11","8960","8980","8900","8920","519000","8920","2571"
"1999-01-12","8960","9000","8920","8940","790000","8940","2572"
"1999-01-13","9000","9140","8980","9060","1216500","9060","2573"
"1999-01-14","9060","9200","9040","9160","1204000","9160","2574"
"1999-01-18","9200","9240","9120","9180","766000","9180","2576"
"1999-01-19","9220","9380","9180","9360","1823500","9360","2577"
"1999-01-20","9460","9620","9440","9620","3036000","9620","2578"
"1999-01-21","9640","9660","9520","9580","1757500","9580","2579"
"1999-01-22","9600","9700","9580","9700","2719000","9700","2580"
"1999-01-25","9740","9780","9620","9680","1208500","9680","2581"
"1999-01-26","9700","9720","9520","9560","1450000","9560","2582"
"1999-01-27","9660","9700","9600","9640","1343500","9640","2583"
"1999-01-28","9640","9700","9580","9600","1314500","9600","2584"
"1999-01-29","9660","9800","9640","9800","2539500","9800","2585"
"1999-02-01","9800","9820","9660","9740","1023000","9740","2586"
"1999-02-02","9700","9720","9580","9580","525000","9580","2587"
"1999-02-03","9540","9540","9440","9520","465500","9520","2588"
"1999-02-04","9500","9520","9400","9440","630000","9440","2589"
"1999-02-05","9440","9440","9240","9400","1374000","9400","2590"
"1999-02-08","9300","9360","9260","9360","528500","9360","2591"
"1999-02-09","9380","9440","9280","9300","767000","9300","2592"
"1999-02-10","9280","9320","9220","9320","797000","9320","2593"
"1999-02-12","9400","9580","9380","9560","1142500","9560","2595"
"1999-02-15","9560","9560","9380","9440","513000","9440","2596"
