9501 “Œ‹ž“d—ÍHD,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","7250","7380","7250","7330","1711000","7330","1"
"1989-02-20","7400","7400","7280","7300","1139000","7300","2"
"1989-02-21","7260","7300","7150","7190","1203000","7190","3"
"1989-02-22","7180","7180","7030","7040","1758000","7040","4"
"1989-02-23","7140","7300","7080","7280","2658000","7280","5"
"1989-02-27","7190","7220","7100","7100","1130000","7100","7"
"1989-02-28","7080","7090","6960","6970","1143000","6970","8"
"1989-03-01","6990","7030","6850","6880","1268000","6880","9"
"1989-03-02","6810","6850","6780","6800","807000","6800","10"
"1989-03-03","6860","6930","6760","6840","1555000","6840","11"
"1989-03-06","6770","6840","6660","6840","1362000","6840","12"
"1989-03-07","6740","7000","6740","6990","1352000","6990","13"
"1989-03-08","6890","6970","6810","6830","521000","6830","14"
"1989-03-09","6750","6800","6660","6700","2474000","6700","15"
"1989-03-10","6700","6730","6600","6640","1103000","6640","16"
"1989-03-13","6550","6600","6500","6500","1662000","6500","17"
"1989-03-14","6510","6700","6480","6510","2150000","6510","18"
"1989-03-15","6610","6610","6520","6590","1108000","6590","19"
"1989-03-16","6510","6540","6320","6320","2279000","6320","20"
"1989-03-17","6300","6300","6050","6050","2648000","6050","21"
"1989-03-20","5950","5980","5850","5850","1954000","5850","22"
"1989-03-22","5900","5920","5830","5890","1602000","5890","24"
"1989-03-23","5900","6030","5900","6020","1590000","6020","25"
"1989-03-24","6040","6140","6040","6050","1015000","6050","26"
"1989-03-27","6090","6100","5830","5900","1675000","5900","27"
"1989-03-28","6080","6080","5950","6000","1204000","6000","28"
"1989-03-29","6200","6210","6040","6130","735000","6130","29"
"1989-03-30","6150","6190","6010","6030","468000","6030","30"
"1989-03-31","6130","6130","6000","6050","1051000","6050","31"
"1989-04-03","6010","6090","5950","5950","855000","5950","32"
"1989-04-04","6060","6100","6000","6040","1149000","6040","33"
"1989-04-05","6130","6140","6030","6070","1170000","6070","34"
"1989-04-06","6070","6070","6000","6040","669000","6040","35"
"1989-04-07","6040","6050","5940","5990","1583000","5990","36"
"1989-04-10","6040","6040","5940","5960","693000","5960","37"
"1989-04-11","5990","6020","5960","6000","800000","6000","38"
"1989-04-12","6050","6050","5940","5940","766000","5940","39"
"1989-04-13","6020","6030","5940","5960","508000","5960","40"
"1989-04-14","6020","6020","5930","5980","499000","5980","41"
"1989-04-17","6030","6040","5970","5980","353000","5980","42"
"1989-04-18","5980","6000","5900","5900","880000","5900","43"
"1989-04-19","5920","5950","5800","5830","567000","5830","44"
"1989-04-20","5810","5820","5720","5790","1225000","5790","45"
"1989-04-21","5590","5740","5590","5700","1096000","5700","46"
"1989-04-24","5750","5750","5600","5640","676000","5640","47"
"1989-04-25","5780","5780","5700","5770","699000","5770","48"
"1989-04-26","5870","5980","5850","5970","997000","5970","49"
"1989-04-27","5990","6030","5970","5970","966000","5970","50"
"1989-04-28","6050","6070","6000","6070","1041000","6070","51"
"1989-05-01","6150","6150","6040","6090","1378000","6090","52"
"1989-05-02","6120","6120","6050","6090","611000","6090","53"
"1989-05-08","6110","6550","6100","6550","4523000","6550","57"
"1989-05-09","6600","6640","6350","6350","3430000","6350","58"
"1989-05-10","6450","6500","6350","6360","1321000","6360","59"
"1989-05-11","6360","6390","6240","6300","533000","6300","60"
"1989-05-12","6200","6270","6100","6200","603000","6200","61"
"1989-05-15","6200","6210","6080","6110","568000","6110","62"
"1989-05-16","6210","6210","6010","6090","793000","6090","63"
"1989-05-17","6100","6200","6050","6100","559000","6100","64"
"1989-05-18","6150","6150","5990","5990","945000","5990","65"
"1989-05-19","6060","6080","6000","6070","522000","6070","66"
"1989-05-22","6100","6140","6060","6060","465000","6060","67"
"1989-05-23","5960","6030","5940","6000","1093000","6000","68"
"1989-05-24","6060","6060","5980","5980","787000","5980","69"
"1989-05-25","5990","6080","5980","6040","1081000","6040","70"
"1989-05-26","6040","6090","6010","6070","666000","6070","71"
"1989-05-29","6090","6150","6000","6020","433000","6020","72"
"1989-05-30","6010","6060","5980","6010","581000","6010","73"
"1989-05-31","6040","6050","5910","5940","1207000","5940","74"
"1989-06-01","6040","6050","5950","5950","746000","5950","75"
"1989-06-02","5960","6000","5900","5900","661000","5900","76"
