9502 ’†•”“d—Í,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","4780","4830","4760","4800","522000","4800","1"
"1989-02-20","4850","4870","4760","4760","578000","4760","2"
"1989-02-21","4800","4800","4710","4750","349000","4750","3"
"1989-02-22","4800","4840","4610","4610","421000","4610","4"
"1989-02-23","4730","4830","4670","4800","672000","4800","5"
"1989-02-27","4750","4780","4670","4710","537000","4710","7"
"1989-02-28","4640","4690","4590","4610","604000","4610","8"
"1989-03-01","4630","4650","4500","4550","418000","4550","9"
"1989-03-02","4500","4540","4450","4480","2294000","4480","10"
"1989-03-03","4500","4550","4490","4540","350000","4540","11"
"1989-03-06","4560","4590","4480","4500","178000","4500","12"
"1989-03-07","4500","4530","4470","4470","278000","4470","13"
"1989-03-08","4520","4540","4480","4500","181000","4500","14"
"1989-03-09","4450","4490","4410","4410","785000","4410","15"
"1989-03-10","4400","4400","4210","4300","470000","4300","16"
"1989-03-13","4300","4340","4230","4230","519000","4230","17"
"1989-03-14","4230","4410","4200","4350","842000","4350","18"
"1989-03-15","4350","4390","4330","4370","338000","4370","19"
"1989-03-16","4380","4440","4300","4330","326000","4330","20"
"1989-03-17","4210","4270","4200","4220","415000","4220","21"
"1989-03-20","4070","4160","4070","4070","757000","4070","22"
"1989-03-22","4070","4090","4010","4030","561000","4030","24"
"1989-03-23","4020","4060","4010","4060","524000","4060","25"
"1989-03-24","4060","4140","4050","4080","794000","4080","26"
"1989-03-27","4090","4100","4040","4080","676000","4080","27"
"1989-03-28","4110","4240","4110","4180","331000","4180","28"
"1989-03-29","4280","4400","4230","4400","445000","4400","29"
"1989-03-30","4360","4410","4290","4320","312000","4320","30"
"1989-03-31","4310","4390","4300","4330","182000","4330","31"
"1989-04-03","4400","4400","4000","4000","560000","4000","32"
"1989-04-04","4200","4250","4120","4150","464000","4150","33"
"1989-04-05","4150","4250","4150","4200","414000","4200","34"
"1989-04-06","4200","4250","4120","4250","137000","4250","35"
"1989-04-07","4290","4290","4160","4160","153000","4160","36"
"1989-04-10","4110","4240","4090","4100","231000","4100","37"
"1989-04-11","4100","4250","4100","4180","238000","4180","38"
"1989-04-12","4190","4240","4150","4200","148000","4200","39"
"1989-04-13","4250","4250","4180","4200","86000","4200","40"
"1989-04-14","4180","4210","4160","4210","112000","4210","41"
"1989-04-17","4250","4250","4200","4220","141000","4220","42"
"1989-04-18","4200","4220","4200","4200","234000","4200","43"
"1989-04-19","4210","4240","4160","4200","179000","4200","44"
"1989-04-20","4160","4200","4120","4200","181000","4200","45"
"1989-04-21","4150","4200","4130","4180","276000","4180","46"
"1989-04-24","4200","4200","4120","4130","207000","4130","47"
"1989-04-25","4130","4190","4100","4180","274000","4180","48"
