9503 ä÷êºìdóÕ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","5150","5320","5150","5280","947000","5280","1"
"1989-02-20","5380","5440","5250","5250","1143000","5250","2"
"1989-02-21","5260","5320","5200","5210","881000","5210","3"
"1989-02-22","5170","5240","5160","5160","1379000","5160","4"
"1989-02-23","5190","5310","5180","5250","1724000","5250","5"
"1989-02-27","5240","5240","5050","5050","744000","5050","7"
"1989-02-28","5050","5090","4980","5030","2006000","5030","8"
"1989-03-01","5040","5060","4910","4930","1079000","4930","9"
"1989-03-02","4880","4910","4800","4830","1288000","4830","10"
"1989-03-03","4850","4890","4810","4860","1150000","4860","11"
"1989-03-06","4850","4850","4760","4800","900000","4800","12"
"1989-03-07","4750","4780","4750","4780","761000","4780","13"
"1989-03-08","4800","4840","4790","4790","816000","4790","14"
"1989-03-09","4770","4770","4680","4690","650000","4690","15"
"1989-03-10","4650","4690","4580","4640","1040000","4640","16"
"1989-03-13","4620","4640","4580","4590","1372000","4590","17"
"1989-03-14","4550","4810","4530","4810","974000","4810","18"
"1989-03-15","4800","4820","4720","4770","773000","4770","19"
"1989-03-16","4750","4770","4510","4520","1275000","4520","20"
"1989-03-17","4500","4520","4400","4410","1872000","4410","21"
"1989-03-20","4380","4400","4180","4290","1383000","4290","22"
"1989-03-22","4300","4310","4220","4290","1081000","4290","24"
"1989-03-23","4300","4400","4280","4390","986000","4390","25"
"1989-03-24","4400","4460","4390","4430","1056000","4430","26"
"1989-03-27","4430","4430","4210","4230","1687000","4230","27"
"1989-03-28","4360","4400","4310","4350","553000","4350","28"
"1989-03-29","4440","4590","4440","4530","644000","4530","29"
"1989-03-30","4560","4650","4480","4550","819000","4550","30"
"1989-03-31","4590","4590","4480","4500","560000","4500","31"
"1989-04-03","4520","4550","4240","4270","753000","4270","32"
"1989-04-04","4470","4470","4390","4440","990000","4440","33"
"1989-04-05","4500","4520","4450","4510","1003000","4510","34"
"1989-04-06","4480","4500","4400","4460","341000","4460","35"
"1989-04-07","4470","4500","4380","4420","457000","4420","36"
"1989-04-10","4400","4450","4380","4440","318000","4440","37"
"1989-04-11","4430","4490","4410","4470","368000","4470","38"
"1989-04-12","4500","4530","4450","4450","469000","4450","39"
"1989-04-13","4470","4470","4400","4410","485000","4410","40"
"1989-04-14","4460","4460","4380","4430","286000","4430","41"
"1989-04-17","4440","4480","4430","4430","330000","4430","42"
"1989-04-18","4430","4450","4350","4350","586000","4350","43"
"1989-04-19","4360","4380","4310","4310","658000","4310","44"
"1989-04-20","4270","4300","4200","4250","551000","4250","45"
"1989-04-21","4200","4240","4110","4170","608000","4170","46"
"1989-04-24","4180","4180","4120","4180","614000","4180","47"
"1989-04-25","4180","4300","4180","4250","486000","4250","48"
"1989-04-26","4280","4400","4270","4370","585000","4370","49"
"1989-04-27","4400","4430","4310","4320","686000","4320","50"
"1989-04-28","4470","4540","4430","4510","1241000","4510","51"
"1989-05-01","4560","4580","4510","4530","1475000","4530","52"
"1989-05-02","4530","4570","4520","4540","1188000","4540","53"
"1989-05-08","4590","5040","4590","5040","4527000","5040","57"
"1989-05-09","5200","5200","5000","5070","5847000","5070","58"
"1989-05-10","5110","5250","5080","5100","4911000","5100","59"
"1989-05-11","5110","5170","5010","5070","1360000","5070","60"
"1989-05-12","5050","5060","4900","5000","866000","5000","61"
"1989-05-15","5000","5000","4900","4940","692000","4940","62"
"1989-05-16","4930","4960","4860","4870","1188000","4870","63"
"1989-05-17","4920","4990","4890","4900","1405000","4900","64"
"1989-05-18","4860","4890","4830","4830","748000","4830","65"
"1989-05-19","4830","4930","4810","4850","565000","4850","66"
"1989-05-22","4900","4930","4810","4810","486000","4810","67"
"1989-05-23","4780","4790","4600","4710","851000","4710","68"
"1989-05-24","4710","4750","4690","4740","858000","4740","69"
"1989-05-25","4720","4920","4720","4780","734000","4780","70"
"1989-05-26","4870","4870","4790","4840","681000","4840","71"
"1989-05-29","4860","4900","4750","4760","472000","4760","72"
"1989-05-30","4810","4810","4670","4670","662000","4670","73"
"1989-05-31","4710","4750","4610","4660","714000","4660","74"
"1989-06-01","4640","4650","4550","4550","739000","4550","75"
"1989-06-02","4560","4600","4520","4550","587000","4550","76"
"1989-06-05","4510","4590","4500","4540","604000","4540","77"
"1989-06-06","4520","4730","4520","4600","399000","4600","78"
"1989-06-07","4650","4690","4580","4580","668000","4580","79"
"1989-06-08","4680","4720","4650","4670","425000","4670","80"
"1989-06-09","4700","4700","4600","4680","407000","4680","81"
"1989-06-12","4610","4610","4560","4560","348000","4560","82"
"1989-06-13","4560","4560","4490","4500","596000","4500","83"
"1989-06-14","4510","4550","4480","4540","519000","4540","84"
"1989-06-15","4490","4500","4410","4460","582000","4460","85"
"1989-06-16","4510","4580","4380","4420","839000","4420","86"
"1989-06-19","4390","4420","4380","4390","233000","4390","87"
"1989-06-20","4400","4440","4400","4440","356000","4440","88"
"1989-06-21","4490","4490","4420","4470","264000","4470","89"
"1989-06-22","4490","4530","4430","4450","493000","4450","90"
"1989-06-23","4540","4550","4480","4540","518000","4540","91"
"1989-06-26","4550","4640","4510","4550","514000","4550","92"
"1989-06-27","4510","4540","4480","4480","306000","4480","93"
"1989-06-28","4440","4440","4330","4380","859000","4380","94"
"1989-06-29","4380","4430","4350","4380","504000","4380","95"
"1989-06-30","4350","4400","4330","4400","571000","4400","96"
"1989-07-03","4350","4450","4340","4450","471000","4450","97"
"1989-07-04","4450","4460","4360","4360","501000","4360","98"
"1989-07-05","4340","4390","4330","4350","1035000","4350","99"
"1989-07-06","4390","4570","4350","4520","1105000","4520","100"
"1989-07-07","4550","4550","4480","4520","568000","4520","101"
"1989-07-10","4550","4550","4420","4460","1140000","4460","102"
"1989-07-11","4480","4570","4450","4540","520000","4540","103"
"1989-07-12","4500","4510","4470","4480","360000","4480","104"
"1989-07-13","4500","4510","4450","4470","545000","4470","105"
"1989-07-14","4460","4510","4420","4510","389000","4510","106"
"1989-07-17","4500","4500","4420","4420","183000","4420","107"
"1989-07-18","4420","4450","4400","4400","274000","4400","108"
"1989-07-19","4400","4440","4400","4440","356000","4440","109"
"1989-07-20","4490","4520","4440","4480","599000","4480","110"
"1989-07-21","4500","4560","4480","4550","957000","4550","111"
"1989-07-24","4590","4650","4550","4630","828000","4630","112"
"1989-07-25","4680","4800","4660","4780","2617000","4780","113"
"1989-07-26","4830","4890","4680","4680","1315000","4680","114"
"1989-07-27","4730","4780","4690","4780","1393000","4780","115"
"1989-07-28","4780","4920","4740","4840","2618000","4840","116"
"1989-07-31","4890","5040","4870","5030","3403000","5030","117"
"1989-08-01","5130","5130","4980","5020","3173000","5020","118"
"1989-08-02","5000","5080","4900","4940","1720300","4940","119"
"1989-08-03","4890","4940","4850","4850","1065000","4850","120"
"1989-08-04","4850","4890","4800","4800","443000","4800","121"
"1989-08-07","4750","4830","4730","4750","359000","4750","122"
"1989-08-08","4700","4900","4700","4880","619000","4880","123"
"1989-08-09","4860","4930","4760","4870","551000","4870","124"
"1989-08-10","4820","4860","4750","4750","379000","4750","125"
"1989-08-11","4800","4800","4700","4740","359000","4740","126"
"1989-08-14","4710","4780","4700","4780","356000","4780","127"
"1989-08-15","4730","4750","4700","4730","340000","4730","128"
"1989-08-16","4720","4830","4720","4820","521000","4820","129"
"1989-08-17","4840","4840","4770","4800","282000","4800","130"
"1989-08-18","4820","4840","4750","4790","273000","4790","131"
"1989-08-21","4820","4820","4750","4820","305000","4820","132"
"1989-08-22","4770","4800","4760","4770","182000","4770","133"
"1989-08-23","4780","4790","4720","4750","313000","4750","134"
"1989-08-24","4720","4760","4680","4760","936000","4760","135"
"1989-08-25","4760","4760","4700","4700","231000","4700","136"
"1989-08-28","4700","4700","4600","4600","369000","4600","137"
"1989-08-29","4610","4620","4560","4590","639000","4590","138"
"1989-08-30","4560","4580","4550","4570","354000","4570","139"
"1989-08-31","4550","4560","4500","4540","691000","4540","140"
"1989-09-01","4540","4540","4500","4520","415000","4520","141"
"1989-09-04","4510","4570","4500","4560","381000","4560","142"
"1989-09-05","4560","4570","4510","4510","280000","4510","143"
"1989-09-06","4500","4550","4500","4500","414000","4500","144"
"1989-09-07","4500","4520","4480","4490","999000","4490","145"
"1989-09-08","4490","4520","4470","4480","344000","4480","146"
"1989-09-11","4490","4510","4470","4490","275000","4490","147"
"1989-09-12","4500","4550","4470","4500","352000","4500","148"
"1989-09-13","4520","4550","4500","4510","364000","4510","149"
"1989-09-14","4510","4550","4500","4540","371000","4540","150"
"1989-09-18","4550","4560","4490","4510","355000","4510","152"
"1989-09-19","4500","4510","4450","4460","497000","4460","153"
"1989-09-20","4450","4470","4420","4420","541000","4420","154"
"1989-09-21","4430","4440","4410","4440","2435000","4440","155"
"1989-09-22","4440","4470","4420","4470","589000","4470","156"
"1989-09-25","4480","4550","4480","4520","360000","4520","157"
"1989-09-26","4520","4760","4520","4640","905000","4640","158"
"1989-09-27","4690","4720","4510","4510","724000","4510","159"
"1989-09-28","4560","4590","4540","4580","498000","4580","160"
"1989-09-29","4590","4620","4550","4570","560000","4570","161"
"1989-10-02","4570","4590","4510","4510","320000","4510","162"
"1989-10-03","4520","4520","4430","4440","540000","4440","163"
"1989-10-04","4440","4460","4420","4420","451000","4420","164"
"1989-10-05","4440","4440","4410","4420","249000","4420","165"
"1989-10-06","4400","4420","4370","4380","422000","4380","166"
"1989-10-09","4370","4380","4340","4350","431000","4350","167"
"1989-10-11","4330","4350","4200","4290","723000","4290","169"
"1989-10-12","4290","4310","4250","4300","421000","4300","170"
"1989-10-13","4300","4360","4290","4320","298000","4320","171"
"1989-10-16","4350","4500","4350","4430","610000","4430","172"
"1989-10-17","4580","4580","4450","4550","480000","4550","173"
"1989-10-18","4530","4570","4360","4440","472000","4440","174"
"1989-10-19","4440","4490","4370","4420","342000","4420","175"
"1989-10-20","4500","4500","4380","4420","428000","4420","176"
"1989-10-23","4470","4500","4430","4450","370000","4450","177"
"1989-10-24","4500","4530","4390","4460","439000","4460","178"
"1989-10-25","4500","4550","4370","4390","598000","4390","179"
"1989-10-26","4470","4490","4410","4490","195000","4490","180"
"1989-10-27","4560","4570","4450","4450","788000","4450","181"
"1989-10-30","4440","4470","4410","4410","649000","4410","182"
"1989-10-31","4460","4550","4430","4540","380000","4540","183"
"1989-11-01","4550","4570","4400","4450","690000","4450","184"
"1989-11-02","4420","4490","4390","4450","272000","4450","185"
