9531 “Œ‹žƒKƒX,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","1320","1330","1300","1300","5503000","1300","1"
"1989-02-20","1320","1320","1290","1300","2815000","1300","2"
"1989-02-21","1300","1300","1270","1280","3550000","1280","3"
"1989-02-22","1290","1290","1270","1280","4776000","1280","4"
"1989-02-23","1270","1280","1250","1260","6007000","1260","5"
"1989-02-27","1260","1260","1230","1230","3919000","1230","7"
"1989-02-28","1220","1230","1180","1180","6410000","1180","8"
"1989-03-01","1220","1220","1170","1190","4370000","1190","9"
"1989-03-02","1200","1200","1170","1190","5057000","1190","10"
"1989-03-03","1190","1200","1160","1180","10061000","1180","11"
"1989-03-06","1170","1180","1150","1150","2240000","1150","12"
"1989-03-07","1150","1160","1140","1140","4380000","1140","13"
"1989-03-08","1160","1160","1140","1150","3578000","1150","14"
"1989-03-09","1150","1150","1130","1130","2613000","1130","15"
"1989-03-10","1130","1150","1130","1150","2226000","1150","16"
"1989-03-13","1150","1150","1130","1130","1421000","1130","17"
"1989-03-14","1140","1160","1130","1160","3122000","1160","18"
"1989-03-15","1160","1180","1160","1170","2257000","1170","19"
"1989-03-16","1190","1190","1130","1150","3426000","1150","20"
"1989-03-17","1130","1140","1090","1100","6799000","1100","21"
"1989-03-20","1080","1100","1050","1090","5439000","1090","22"
"1989-03-22","1070","1090","1050","1060","3742000","1060","24"
"1989-03-23","1060","1070","1040","1050","4621000","1050","25"
"1989-03-24","1060","1070","1050","1070","3201000","1070","26"
"1989-03-27","1070","1070","1030","1030","3809000","1030","27"
"1989-03-28","1050","1100","1040","1070","3544000","1070","28"
"1989-03-29","1100","1120","1090","1110","3620000","1110","29"
"1989-03-30","1100","1120","1090","1090","2738000","1090","30"
"1989-03-31","1100","1130","1100","1120","4061000","1120","31"
"1989-04-03","1100","1120","1080","1080","3432000","1080","32"
"1989-04-04","1100","1130","1100","1130","6968000","1130","33"
"1989-04-05","1170","1190","1160","1170","9083000","1170","34"
"1989-04-06","1170","1180","1130","1150","2421000","1150","35"
"1989-04-07","1150","1160","1140","1140","1573000","1140","36"
"1989-04-10","1140","1150","1130","1140","2007000","1140","37"
"1989-04-11","1150","1150","1130","1130","2849000","1130","38"
"1989-04-12","1150","1150","1130","1130","1257000","1130","39"
"1989-04-13","1140","1140","1120","1130","1225000","1130","40"
"1989-04-14","1140","1140","1110","1110","1594000","1110","41"
"1989-04-17","1130","1130","1120","1130","1571000","1130","42"
"1989-04-18","1130","1130","1110","1120","1968000","1120","43"
"1989-04-19","1110","1120","1100","1100","957000","1100","44"
"1989-04-20","1110","1110","1070","1080","2933000","1080","45"
"1989-04-21","1060","1070","1050","1050","2470000","1050","46"
"1989-04-24","1070","1070","1040","1070","2815000","1070","47"
"1989-04-25","1090","1100","1070","1080","1768000","1080","48"
"1989-04-26","1100","1110","1090","1100","3092000","1100","49"
"1989-04-27","1110","1120","1100","1110","2479000","1110","50"
"1989-04-28","1120","1130","1110","1120","2556000","1120","51"
"1989-05-01","1130","1140","1120","1130","2196000","1130","52"
"1989-05-02","1130","1140","1130","1130","3788000","1130","53"
"1989-05-08","1130","1180","1130","1170","5709000","1170","57"
"1989-05-09","1180","1190","1140","1150","6188000","1150","58"
"1989-05-10","1160","1170","1140","1140","1819000","1140","59"
"1989-05-11","1150","1160","1140","1150","1732000","1150","60"
"1989-05-12","1150","1170","1130","1150","2734000","1150","61"
"1989-05-15","1150","1160","1130","1140","1455000","1140","62"
"1989-05-16","0","0","0","0","0","0","63"
"1989-05-17","1160","1170","1140","1140","3320000","1140","64"
"1989-05-18","1150","1150","1120","1130","2774000","1130","65"
"1989-05-19","1140","1160","1120","1140","2200000","1140","66"
"1989-05-22","1150","1180","1140","1150","3375000","1150","67"
"1989-05-23","1130","1140","1120","1120","2819000","1120","68"
"1989-05-24","1130","1160","1120","1140","2757000","1140","69"
"1989-05-25","1150","1180","1140","1150","6132000","1150","70"
"1989-05-26","1170","1180","1150","1160","3000000","1160","71"
"1989-05-29","1160","1170","1130","1140","2190000","1140","72"
