9532 ëÂç„ÉKÉX,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","900","900","890","890","2869000","890","1"
"1989-02-20","900","905","891","900","2702000","900","2"
"1989-02-21","899","900","875","880","2516000","880","3"
"1989-02-22","899","899","870","875","2073000","875","4"
"1989-02-23","876","885","861","882","5712000","882","5"
"1989-02-27","883","891","882","890","2589000","890","7"
"1989-02-28","889","890","860","870","2192000","870","8"
"1989-03-01","880","882","850","858","2991000","858","9"
"1989-03-02","860","860","852","858","1401000","858","10"
"1989-03-03","868","869","858","860","1249000","860","11"
"1989-03-06","856","863","849","850","1369000","850","12"
"1989-03-07","847","855","841","842","1935000","842","13"
"1989-03-08","850","850","833","835","2283000","835","14"
"1989-03-09","830","830","825","825","1492000","825","15"
"1989-03-10","825","830","821","825","1848000","825","16"
"1989-03-13","835","855","833","855","5964000","855","17"
"1989-03-14","855","858","841","852","4436000","852","18"
"1989-03-15","850","851","840","851","4474000","851","19"
"1989-03-16","852","861","846","846","3975000","846","20"
"1989-03-17","846","846","822","825","2395000","825","21"
"1989-03-20","835","864","835","842","11175000","842","22"
"1989-03-22","858","869","840","841","6387000","841","24"
"1989-03-23","845","845","829","829","2652000","829","25"
"1989-03-24","835","845","829","839","2265000","839","26"
"1989-03-27","831","840","825","840","2458000","840","27"
"1989-03-28","828","845","828","835","3118000","835","28"
"1989-03-29","855","865","845","845","2267000","845","29"
"1989-03-30","845","862","840","862","1394000","862","30"
"1989-03-31","865","897","865","870","5700000","870","31"
"1989-04-03","880","880","860","864","1885000","864","32"
"1989-04-04","870","879","869","875","2320000","875","33"
"1989-04-05","889","895","882","888","5671000","888","34"
"1989-04-06","889","892","866","875","3282000","875","35"
"1989-04-07","880","923","874","903","16582000","903","36"
"1989-04-10","913","914","896","900","3572000","900","37"
"1989-04-11","900","921","898","901","8106000","901","38"
"1989-04-12","911","914","891","892","3969000","892","39"
"1989-04-13","894","900","875","875","1955000","875","40"
"1989-04-14","876","900","876","884","1447000","884","41"
"1989-04-17","884","898","880","880","2631000","880","42"
"1989-04-18","898","910","895","895","7595000","895","43"
"1989-04-19","910","917","898","898","7021000","898","44"
"1989-04-20","908","908","888","890","4093000","890","45"
"1989-04-21","881","897","880","894","1285000","894","46"
"1989-04-24","885","886","877","879","1185000","879","47"
"1989-04-25","879","887","877","877","2216000","877","48"
"1989-04-26","882","895","877","886","2663000","886","49"
"1989-04-27","894","905","893","893","2619000","893","50"
"1989-04-28","894","905","890","900","3519000","900","51"
"1989-05-01","902","920","899","916","5810000","916","52"
"1989-05-02","916","939","910","934","21374000","934","53"
"1989-05-08","945","957","944","950","28686000","950","57"
"1989-05-09","958","968","941","942","24442000","942","58"
"1989-05-10","952","958","938","945","8419000","945","59"
"1989-05-11","949","956","944","945","5925000","945","60"
"1989-05-12","950","951","934","939","4052000","939","61"
"1989-05-15","933","935","920","930","2137000","930","62"
"1989-05-16","934","935","923","927","1716000","927","63"
"1989-05-17","929","935","915","920","2248000","920","64"
"1989-05-18","915","916","905","908","1385000","908","65"
"1989-05-19","908","915","900","908","2797000","908","66"
"1989-05-22","903","915","903","913","991000","913","67"
"1989-05-23","903","910","885","886","2817000","886","68"
"1989-05-24","896","903","887","896","1883000","896","69"
"1989-05-25","900","910","896","905","1616000","905","70"
"1989-05-26","904","919","901","915","1858000","915","71"
"1989-05-29","905","911","900","900","2109000","900","72"
"1989-05-30","895","900","886","895","1012000","895","73"
"1989-05-31","899","900","895","899","1310000","899","74"
"1989-06-01","890","895","860","870","1821000","870","75"
"1989-06-02","870","880","860","860","1524000","860","76"
"1989-06-05","0","0","0","0","0","0","77"
"1989-06-06","857","869","857","869","858000","869","78"
"1989-06-07","873","881","869","869","1264000","869","79"
"1989-06-08","890","892","880","885","885000","885","80"
"1989-06-09","895","895","881","889","758000","889","81"
"1989-06-12","882","882","861","871","663000","871","82"
"1989-06-13","866","866","827","831","2399000","831","83"
"1989-06-14","836","839","825","836","2289000","836","84"
"1989-06-15","845","845","825","830","1389000","830","85"
"1989-06-16","830","836","800","819","1959000","819","86"
"1989-06-19","815","819","806","815","596000","815","87"
"1989-06-20","817","827","815","827","1645000","827","88"
"1989-06-21","830","838","821","825","1733000","825","89"
"1989-06-22","835","845","830","840","1058000","840","90"
