9602 “Œ•ó,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","28000","28000","27500","28000","6000","28000","1"
"1989-02-20","28000","28100","27900","28100","8000","28100","2"
"1989-02-21","28100","28100","27600","27800","53000","27800","3"
"1989-02-22","25800","26000","25800","25900","7000","25900","4"
"1989-02-23","26000","26100","25900","25900","8000","25900","5"
"1989-02-27","25900","26000","25600","26000","4000","26000","7"
"1989-02-28","26200","26200","26000","26200","7000","26200","8"
"1989-03-01","26300","26300","26000","26200","8000","26200","9"
"1989-03-02","26200","26200","26000","26000","4000","26000","10"
"1989-03-03","26000","26000","26000","26000","1000","26000","11"
"1989-03-06","25800","25800","25500","25800","3000","25800","12"
"1989-03-07","25700","25700","25000","25000","4000","25000","13"
"1989-03-08","25000","25000","24600","25000","4000","25000","14"
"1989-03-09","25000","25000","24900","25000","5000","25000","15"
"1989-03-10","25000","25500","24900","24900","4000","24900","16"
"1989-03-13","24900","24900","24500","24900","5000","24900","17"
"1989-03-14","24700","24700","24100","24300","6000","24300","18"
"1989-03-15","24500","24900","24400","24600","11000","24600","19"
"1989-03-16","24600","24700","24500","24600","8000","24600","20"
"1989-03-17","24600","25100","24500","25100","12000","25100","21"
"1989-03-20","24900","25000","24500","24900","7000","24900","22"
"1989-03-22","24800","25100","24700","25100","10000","25100","24"
"1989-03-23","25100","25800","25100","25800","9000","25800","25"
"1989-03-24","25600","25900","25400","25500","11000","25500","26"
"1989-03-27","25400","26000","25200","25400","12000","25400","27"
"1989-03-28","25400","25400","25200","25200","2000","25200","28"
"1989-03-29","25000","25200","24800","25200","5000","25200","29"
"1989-03-30","25200","25200","25000","25000","4000","25000","30"
"1989-03-31","24800","24800","24500","24600","3000","24600","31"
"1989-04-03","24600","24800","24500","24800","4000","24800","32"
"1989-04-04","24800","24800","24400","24400","3000","24400","33"
"1989-04-05","24200","24400","24200","24400","3000","24400","34"
"1989-04-06","24500","24500","24000","24000","6000","24000","35"
"1989-04-07","24200","24400","24000","24000","2000","24000","36"
"1989-04-10","24000","24100","24000","24100","3000","24100","37"
"1989-04-11","24300","24600","24000","24600","4000","24600","38"
"1989-04-12","24500","24600","24400","24600","3000","24600","39"
"1989-04-13","24200","24400","23900","24400","4000","24400","40"
"1989-04-14","24200","24200","23900","24100","12000","24100","41"
"1989-04-17","24000","24100","23900","24000","8000","24000","42"
"1989-04-18","23900","24000","23900","23900","7000","23900","43"
"1989-04-19","24000","24500","23900","24500","6000","24500","44"
"1989-04-20","23900","24000","23800","24000","7000","24000","45"
"1989-04-21","23800","24400","23800","24400","6000","24400","46"
"1989-04-24","24400","24400","23700","24000","9000","24000","47"
"1989-04-25","24400","24900","24400","24900","9000","24900","48"
"1989-04-26","24400","24800","24400","24400","12000","24400","49"
"1989-04-27","24600","24900","24400","24600","7000","24600","50"
"1989-04-28","25000","25000","24600","25000","9000","25000","51"
"1989-05-01","25000","25000","24700","24800","7000","24800","52"
"1989-05-02","25000","25000","24800","24800","9000","24800","53"
"1989-05-08","25000","25000","24800","24800","15000","24800","57"
"1989-05-09","25000","25000","24900","24900","6000","24900","58"
"1989-05-10","25000","25000","24900","25000","10000","25000","59"
"1989-05-11","25000","25700","24900","25700","10000","25700","60"
"1989-05-12","25700","25700","25700","25700","4000","25700","61"
"1989-05-15","25300","25300","24900","25300","10000","25300","62"
"1989-05-16","25500","25500","25300","25500","15000","25500","63"
"1989-05-17","25700","25700","25300","25300","6000","25300","64"
"1989-05-18","25400","25500","25000","25500","10000","25500","65"
"1989-05-19","25500","25600","25500","25600","13000","25600","66"
"1989-05-22","25800","25800","25600","25800","10000","25800","67"
"1989-05-23","25800","26300","25700","25800","19000","25800","68"
"1989-05-24","26000","26100","25800","26000","11000","26000","69"
"1989-05-25","25700","26100","25700","26100","7000","26100","70"
"1989-05-26","26200","26200","26100","26200","8000","26200","71"
"1989-05-29","26200","26300","26100","26300","11000","26300","72"
"1989-05-30","26600","26600","26200","26600","6000","26600","73"
"1989-05-31","26600","26700","26500","26700","10000","26700","74"
"1989-06-01","27000","27000","26900","26900","10000","26900","75"
"1989-06-02","27000","27400","26900","27100","15000","27100","76"
"1989-06-05","27100","27400","27100","27300","17000","27300","77"
"1989-06-06","27500","27700","27200","27400","14000","27400","78"
"1989-06-07","27400","27400","27200","27400","15000","27400","79"
"1989-06-08","27700","27700","27500","27600","5000","27600","80"
"1989-06-09","27500","27500","27200","27400","8000","27400","81"
"1989-06-12","26600","27000","26600","27000","5000","27000","82"
"1989-06-13","26900","26900","26700","26900","16000","26900","83"
"1989-06-14","26700","26700","26300","26700","9000","26700","84"
"1989-06-15","26900","27000","26900","27000","20000","27000","85"
"1989-06-16","26600","26800","26600","26800","19000","26800","86"
"1989-06-19","27000","27000","26700","26700","5000","26700","87"
"1989-06-20","26600","26700","26200","26200","3000","26200","88"
"1989-06-21","26000","26200","25900","26000","7000","26000","89"
"1989-06-22","26400","26400","26200","26400","3000","26400","90"
