9613 NTTÉfÅ[É^,,,,,
"date","open","hight","low","close","power","End","date_position"
"1995-04-27","1390","1470","1380","1470","218970000","1470","1609"
"1995-04-28","1450","1460","1410","1430","108720000","1430","1610"
"1995-05-01","1450","1460","1420","1440","65430000","1440","1611"
"1995-05-02","1460","1550","1450","1540","137450000","1540","1612"
"1995-05-08","1540","1540","1490","1500","59430000","1500","1616"
"1995-05-09","1500","1510","1460","1460","34480000","1460","1617"
"1995-05-10","1440","1510","1430","1480","65960000","1480","1618"
"1995-05-11","1480","1490","1410","1420","37990000","1420","1619"
"1995-05-12","1440","1450","1410","1410","29120000","1410","1620"
"1995-05-15","1390","1440","1370","1430","34770000","1430","1621"
"1995-05-16","1430","1430","1390","1400","17680000","1400","1622"
"1995-05-17","1400","1430","1400","1420","16610000","1420","1623"
"1995-05-18","1430","1440","1380","1400","18340000","1400","1624"
"1995-05-19","1380","1400","1370","1370","12960000","1370","1625"
"1995-05-22","1360","1370","1290","1320","19180000","1320","1626"
"1995-05-23","1340","1400","1330","1400","26710000","1400","1627"
"1995-05-24","1400","1400","1370","1370","8640000","1370","1628"
"1995-05-25","1380","1390","1340","1360","11420000","1360","1629"
"1995-05-26","1330","1350","1330","1330","8060000","1330","1630"
"1995-05-29","1330","1350","1320","1330","6300000","1330","1631"
"1995-05-30","1330","1360","1330","1360","7280000","1360","1632"
"1995-05-31","1350","1360","1300","1300","9510000","1300","1633"
"1995-06-01","1330","1340","1310","1320","8490000","1320","1634"
"1995-06-02","1330","1340","1320","1330","6340000","1330","1635"
"1995-06-05","1330","1330","1300","1300","4680000","1300","1636"
"1995-06-06","1300","1310","1270","1300","10710000","1300","1637"
"1995-06-07","1280","1280","1240","1250","11820000","1250","1638"
"1995-06-08","1250","1250","1210","1230","9590000","1230","1639"
"1995-06-09","1220","1260","1210","1250","8550000","1250","1640"
"1995-06-12","1240","1240","1210","1230","4760000","1230","1641"
"1995-06-13","1210","1260","1210","1210","8140000","1210","1642"
"1995-06-14","1230","1300","1230","1290","10390000","1290","1643"
"1995-06-15","1290","1340","1260","1330","13720000","1330","1644"
"1995-06-16","1360","1360","1320","1350","14920000","1350","1645"
"1995-06-19","1340","1340","1320","1340","4110000","1340","1646"
"1995-06-20","1330","1350","1290","1310","7340000","1310","1647"
"1995-06-21","1300","1340","1300","1340","6470000","1340","1648"
"1995-06-22","1340","1360","1320","1360","7630000","1360","1649"
"1995-06-23","1360","1370","1330","1350","9120000","1350","1650"
"1995-06-26","1360","1360","1290","1290","3980000","1290","1651"
"1995-06-27","1300","1310","1280","1280","5240000","1280","1652"
"1995-06-28","1270","1330","1270","1330","6520000","1330","1653"
"1995-06-29","1340","1350","1320","1340","7980000","1340","1654"
"1995-06-30","1340","1340","1310","1330","4600000","1330","1655"
"1995-07-03","1320","1320","1290","1310","2880000","1310","1656"
