9735 ÉZÉRÉÄ,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","5750","5760","5620","5700","129000","5700","1"
"1989-02-20","5720","5720","5590","5640","111000","5640","2"
"1989-02-21","5650","5700","5560","5600","56000","5600","3"
"1989-02-22","5700","5700","5560","5690","57000","5690","4"
"1989-02-23","5790","5790","5650","5680","65000","5680","5"
"1989-02-27","5650","5670","5650","5650","79000","5650","7"
"1989-02-28","5650","5670","5580","5580","49000","5580","8"
"1989-03-01","5690","5700","5590","5690","59000","5690","9"
"1989-03-02","5690","5690","5600","5660","73000","5660","10"
"1989-03-03","5650","5650","5590","5650","29000","5650","11"
"1989-03-06","5650","5650","5580","5600","47000","5600","12"
"1989-03-07","5600","5600","5550","5590","109000","5590","13"
"1989-03-08","5600","5600","5500","5500","41000","5500","14"
"1989-03-09","5510","5550","5450","5500","64000","5500","15"
"1989-03-10","5450","5550","5410","5410","49000","5410","16"
"1989-03-13","5450","5450","5350","5350","47000","5350","17"
"1989-03-14","5340","5340","5270","5330","53000","5330","18"
"1989-03-15","5330","5330","5250","5300","132000","5300","19"
"1989-03-16","5300","5340","5300","5310","158000","5310","20"
"1989-03-17","5300","5340","5250","5340","127000","5340","21"
"1989-03-20","5190","5340","5110","5330","105000","5330","22"
"1989-03-22","5330","5330","5090","5100","139000","5100","24"
"1989-03-23","5110","5200","5110","5110","136000","5110","25"
"1989-03-24","5120","5170","5120","5160","109000","5160","26"
"1989-03-27","5260","5420","5160","5400","100000","5400","27"
"1989-03-28","5440","5440","5250","5400","81000","5400","28"
"1989-03-29","5400","5450","5360","5360","78000","5360","29"
"1989-03-30","5450","5450","5360","5380","23000","5380","30"
"1989-03-31","5450","5450","5250","5400","177000","5400","31"
"1989-04-03","5480","5480","5400","5440","40000","5440","32"
"1989-04-04","5470","5470","5300","5300","40000","5300","33"
"1989-04-05","5350","5350","5200","5200","59000","5200","34"
"1989-04-06","5200","5240","5170","5240","102000","5240","35"
"1989-04-07","5300","5350","5190","5300","240000","5300","36"
"1989-04-10","5160","5300","5160","5260","64000","5260","37"
"1989-04-11","5350","5350","5250","5250","123000","5250","38"
"1989-04-12","5280","5300","5250","5290","94000","5290","39"
"1989-04-13","5300","5300","5260","5260","48000","5260","40"
"1989-04-14","5250","5260","5250","5250","29000","5250","41"
"1989-04-17","5250","5290","5250","5250","29000","5250","42"
"1989-04-18","5240","5240","5180","5200","58000","5200","43"
"1989-04-19","5200","5240","5180","5180","60000","5180","44"
"1989-04-20","5270","5270","5180","5220","49000","5220","45"
"1989-04-21","5270","5270","5150","5180","60000","5180","46"
"1989-04-24","5170","5170","5120","5120","59000","5120","47"
"1989-04-25","5150","5250","5130","5200","73000","5200","48"
"1989-04-26","5200","5200","5150","5160","110000","5160","49"
"1989-04-27","5160","5210","5150","5170","64000","5170","50"
"1989-04-28","5250","5480","5250","5470","316000","5470","51"
"1989-05-01","5470","5510","5400","5490","131000","5490","52"
"1989-05-02","5590","5800","5550","5720","416000","5720","53"
"1989-05-08","5790","5900","5740","5880","413000","5880","57"
"1989-05-09","5900","5900","5800","5880","210000","5880","58"
"1989-05-10","5900","5900","5820","5880","156000","5880","59"
"1989-05-11","5880","5880","5800","5820","65000","5820","60"
"1989-05-12","5620","5720","5620","5650","140000","5650","61"
"1989-05-15","5660","5800","5660","5700","56000","5700","62"
"1989-05-16","5790","5890","5750","5890","272000","5890","63"
"1989-05-17","5990","6310","5950","6250","867000","6250","64"
"1989-05-18","6300","6420","6200","6300","836000","6300","65"
"1989-05-19","6400","6400","6250","6300","361000","6300","66"
"1989-05-22","6300","6420","6290","6350","460000","6350","67"
"1989-05-23","6440","6550","6390","6500","567000","6500","68"
"1989-05-24","6540","6590","6500","6560","735000","6560","69"
"1989-05-25","6490","6560","6450","6450","350000","6450","70"
"1989-05-26","6350","6400","6310","6400","123000","6400","71"
"1989-05-29","6380","6400","6210","6210","136000","6210","72"
"1989-05-30","6220","6230","6190","6200","98000","6200","73"
"1989-05-31","6210","6290","6180","6250","253000","6250","74"
"1989-06-01","6250","6330","6250","6250","378000","6250","75"
