9766 ƒRƒiƒ~HD,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-17","2550","2550","2510","2510","8000","2510","1"
"1989-02-20","2520","2520","2500","2500","20000","2500","2"
"1989-02-21","2500","2600","2500","2590","6000","2590","3"
"1989-02-22","2500","2500","2500","2500","3000","2500","4"
"1989-02-23","2500","2500","2410","2450","23000","2450","5"
"1989-02-27","2530","2530","2510","2510","3000","2510","7"
"1989-02-28","2510","2510","2460","2500","18000","2500","8"
"1989-03-01","2500","2500","2500","2500","6000","2500","9"
"1989-03-02","2450","2500","2420","2500","8000","2500","10"
"1989-03-03","2410","2410","2410","2410","6000","2410","11"
"1989-03-06","2410","2410","2410","2410","0","2410","12"
"1989-03-07","2410","2410","2410","2410","0","2410","13"
"1989-03-08","2410","2410","2390","2390","29000","2390","14"
"1989-03-09","2390","2390","2380","2380","10000","2380","15"
"1989-03-10","2390","2400","2370","2400","8000","2400","16"
"1989-03-13","2390","2390","2370","2370","2000","2370","17"
"1989-03-14","2380","2380","2380","2380","1000","2380","18"
"1989-03-15","2400","2430","2380","2380","11000","2380","19"
"1989-03-16","2430","2440","2430","2430","13000","2430","20"
"1989-03-17","2420","2420","2420","2420","1000","2420","21"
"1989-03-20","2420","2430","2420","2430","10000","2430","22"
"1989-03-22","2440","2440","2350","2380","24000","2380","24"
"1989-03-23","2400","2450","2350","2400","13000","2400","25"
"1989-03-24","2430","2450","2430","2450","25000","2450","26"
"1989-03-27","2400","2400","2400","2400","6000","2400","27"
"1989-03-28","2400","2420","2400","2400","15000","2400","28"
"1989-03-29","2400","2480","2400","2480","15000","2480","29"
"1989-03-30","2450","2500","2450","2500","23000","2500","30"
"1989-03-31","2500","2530","2490","2490","31000","2490","31"
"1989-04-03","2480","2480","2480","2480","2000","2480","32"
"1989-04-04","2480","2480","2480","2480","11000","2480","33"
"1989-04-05","2470","2480","2470","2480","8000","2480","34"
"1989-04-06","2440","2450","2350","2430","13000","2430","35"
