9983 ファーストリテイリング,,,,,
"date","open","hight","low","close","power","End","date_position"
"1997-04-03","2490","2520","2390","2420","14000","2420","2111"
"1997-04-04","2420","2440","2400","2420","9000","2420","2112"
"1997-04-07","2410","2420","2350","2350","3000","2350","2113"
"1997-04-08","2300","2300","2260","2300","3000","2300","2114"
"1997-04-09","2260","2260","2200","2220","7000","2220","2115"
"1997-04-10","2220","2300","2200","2250","23000","2250","2116"
"1997-04-11","2300","2340","2300","2300","2000","2300","2117"
"1997-04-14","2260","2310","2260","2300","6000","2300","2118"
"1997-04-15","2300","2330","2290","2330","32000","2330","2119"
"1997-04-16","2320","2390","2320","2340","4000","2340","2120"
"1997-04-17","2350","2350","2330","2330","3000","2330","2121"
"1997-04-18","2400","2430","2390","2400","33000","2400","2122"
"1997-04-21","2400","2510","2400","2500","22000","2500","2123"
"1997-04-22","2530","2700","2530","2650","73000","2650","2124"
"1997-04-23","2800","3050","2800","3050","203000","3050","2125"
"1997-04-24","3100","3320","3100","3230","355000","3230","2126"
"1997-04-25","3200","3230","3110","3110","51000","3110","2127"
"1997-04-28","3110","3110","2970","3050","38000","3050","2128"
"1997-04-30","3100","3280","3070","3280","55000","3280","2130"
"1997-05-01","3280","3400","3280","3320","143000","3320","2131"
"1997-05-02","3320","3330","3300","3320","46000","3320","2132"
"1997-05-06","3330","3380","3320","3340","22000","3340","2134"
"1997-05-07","3350","3500","3340","3500","74000","3500","2135"
"1997-05-08","3510","3590","3470","3500","42000","3500","2136"
"1997-05-09","3500","3500","3400","3400","14000","3400","2137"
"1997-05-12","3320","3400","3290","3290","18000","3290","2138"
"1997-05-13","3290","3300","3240","3240","37000","3240","2139"
"1997-05-14","3240","3300","3210","3250","26000","3250","2140"
"1997-05-15","3200","3240","3160","3200","6000","3200","2141"
"1997-05-16","3230","3420","3220","3370","23000","3370","2142"
"1997-05-19","3500","3630","3500","3550","123000","3550","2143"
"1997-05-20","3550","3900","3510","3900","171000","3900","2144"
"1997-05-21","3800","3800","3530","3570","87000","3570","2145"
"1997-05-22","3560","3690","3500","3690","35000","3690","2146"
"1997-05-23","3670","3750","3620","3680","39000","3680","2147"
"1997-05-26","3730","3840","3730","3800","64000","3800","2148"
"1997-05-27","3800","3830","3770","3770","47000","3770","2149"
"1997-05-28","3770","3880","3770","3800","49000","3800","2150"
"1997-05-29","3770","3800","3770","3770","37000","3770","2151"
"1997-05-30","3770","3800","3770","3770","34000","3770","2152"
"1997-06-02","3700","3770","3700","3710","8000","3710","2153"
"1997-06-03","3700","3860","3700","3750","12000","3750","2154"
"1997-06-04","3800","3850","3700","3820","24000","3820","2155"
"1997-06-05","3860","3900","3840","3880","33000","3880","2156"
"1997-06-06","3890","3900","3860","3900","36000","3900","2157"
"1997-06-09","3850","3900","3840","3840","13000","3840","2158"
"1997-06-10","3790","3800","3690","3700","13000","3700","2159"
"1997-06-11","3670","3750","3670","3700","12000","3700","2160"
"1997-06-12","3650","3740","3650","3650","16000","3650","2161"
"1997-06-13","3650","3700","3650","3690","8000","3690","2162"
"1997-06-16","3590","3650","3580","3620","11000","3620","2163"
"1997-06-17","3630","3660","3630","3640","15000","3640","2164"
"1997-06-18","3700","3800","3660","3780","33000","3780","2165"
"1997-06-19","3780","3890","3780","3870","35000","3870","2166"
"1997-06-20","3900","3940","3850","3890","59000","3890","2167"
"1997-06-23","3890","3890","3850","3860","23000","3860","2168"
"1997-06-24","3840","3870","3840","3860","15000","3860","2169"
"1997-06-25","3900","3900","3800","3840","19000","3840","2170"
