9984 ソフトバンクグループ,,,,,
"date","open","hight","low","close","power","End"
"1998-01-19","1360","1456","1356","1456","1066500","1456"
"1998-01-20","1456","1610","1420","1600","1817400","1600"
"1998-01-21","1666","1683","1560","1583","1074300","1583"
"1998-01-22","1533","1533","1460","1473","532799","1473"
"1998-01-23","1466","1616","1466","1553","696900","1553"
"1998-01-26","1580","1613","1560","1583","650100","1583"
"1998-01-27","1583","1583","1536","1536","271500","1536"
"1998-01-28","1536","1560","1433","1450","459300","1450"
"1998-01-29","1466","1466","1400","1433","300000","1433"
"1998-01-30","1450","1450","1383","1426","236699","1426"
"1998-02-02","1426","1486","1423","1433","281399","1433"
"1998-02-03","1463","1466","1426","1433","221100","1433"
"1998-02-04","1463","1466","1436","1443","201600","1443"
"1998-02-05","1443","1526","1440","1500","537900","1500"
"1998-02-06","1500","1533","1476","1533","404399","1533"
"1998-02-09","1566","1580","1533","1573","564600","1573"
"1998-02-10","1580","1580","1563","1566","477899","1566"
"1998-02-12","1583","1636","1570","1633","967200","1633"
"1998-02-13","1650","1666","1583","1610","827700","1610"
"1998-02-16","1563","1586","1503","1503","375600","1503"
"1998-02-17","1500","1533","1493","1503","217800","1503"
"1998-02-18","1536","1583","1500","1500","308100","1500"
"1998-02-19","1583","1603","1533","1546","533400","1546"
"1998-02-20","1583","1633","1580","1633","741600","1633"
"1998-02-23","1630","1630","1560","1573","228000","1573"
"1998-02-24","1586","1596","1533","1553","268500","1553"
"1998-02-25","1540","1566","1523","1553","198600","1553"
"1998-02-26","1553","1556","1536","1543","130800","1543"
"1998-02-27","1573","1600","1573","1590","360300","1590"
"1998-03-02","1626","1653","1623","1646","765299","1646"
"1998-03-03","1660","1660","1633","1660","688200","1660"
"1998-03-04","1653","1653","1610","1623","205500","1623"
"1998-03-05","1590","1613","1573","1573","271800","1573"
"1998-03-06","1556","1590","1556","1560","271200","1560"
"1998-03-09","1593","1600","1550","1560","216900","1560"
"1998-03-10","1563","1563","1540","1540","271800","1540"
"1998-03-11","1533","1583","1533","1583","175199","1583"
"1998-03-12","1550","1616","1550","1616","333300","1616"
"1998-03-13","1600","1630","1593","1630","313200","1630"
"1998-03-16","1610","1630","1590","1623","246000","1623"
"1998-03-17","1606","1623","1596","1623","225300","1623"
"1998-03-18","1636","1656","1633","1646","940500","1646"
"1998-03-19","1660","1700","1656","1670","1626900","1670"
"1998-03-20","1666","1686","1656","1683","837900","1683"
"1998-03-23","1673","1706","1663","1680","506399","1680"
"1998-03-24","1666","1683","1656","1660","466500","1660"
"1998-03-25","1666","1673","1656","1666","336899","1666"
"1998-03-26","1666","1696","1666","1686","495899","1686"
"1998-03-27","1696","1746","1693","1726","1032000","1726"
"1998-03-30","1733","1750","1720","1740","528299","1740"
"1998-03-31","1740","1833","1740","1786","930000","1786"
"1998-04-01","1816","1910","1813","1873","1260900","1873"
"1998-04-02","1910","1953","1853","1876","1617300","1876"
"1998-04-03","1876","1910","1796","1806","939900","1806"
"1998-04-06","1840","1876","1816","1866","682500","1866"
"1998-04-07","1866","1930","1866","1923","562799","1923"
"1998-04-08","1923","1953","1910","1926","834600","1926"
"1998-04-09","1940","1983","1936","1973","1353900","1973"
"1998-04-10","1983","2116","1983","2053","1863599","2053"
"1998-04-13","2076","2093","2036","2063","529799","2063"
"1998-04-14","2063","2103","2026","2100","650400","2100"
"1998-04-15","2100","2113","2083","2113","919500","2113"
"1998-04-16","2100","2180","2100","2110","1369800","2110"
"1998-04-17","2133","2133","2026","2056","714000","2056"
"1998-04-20","2040","2090","2016","2016","467100","2016"
"1998-04-21","2033","2033","1970","1986","933600","1986"
"1998-04-22","2020","2080","1986","2073","697799","2073"
"1998-04-23","2063","2136","2033","2100","993000","2100"
"1998-04-24","2123","2166","2113","2120","1049400","2120"
"1998-04-27","2103","2120","2076","2080","368399","2080"
"1998-04-28","2003","2060","2003","2050","507899","2050"
"1998-04-30","2016","2046","2010","2033","409200","2033"
"1998-05-01","2033","2093","2016","2080","579600","2080"
"1998-05-06","2130","2160","2100","2113","690000","2113"
"1998-05-07","2110","2113","2063","2070","271500","2070"
"1998-05-08","1970","2000","1920","1973","1652099","1973"
"1998-05-11","1950","2013","1933","1996","623700","1996"
"1998-05-12","2016","2066","2013","2033","483899","2033"
"1998-05-13","2033","2060","2026","2030","286500","2030"
"1998-05-14","2000","2016","1953","1953","263700","1953"
"1998-05-15","1900","2006","1900","2000","657000","2000"
"1998-05-18","1953","1966","1933","1950","325800","1950"
"1998-05-19","1950","1956","1913","1933","495300","1933"
"1998-05-20","1933","1966","1933","1946","185100","1946"
"1998-05-21","1963","1966","1933","1936","203400","1936"
"1998-05-22","1930","1953","1916","1933","233100","1933"
"1998-05-25","1916","1930","1900","1900","172500","1900"
"1998-05-26","1896","1896","1833","1863","491399","1863"
"1998-05-27","1833","1850","1703","1766","1049099","1766"
"1998-05-28","1700","1750","1670","1670","732600","1670"
"1998-05-29","1666","1783","1666","1766","713700","1766"
"1998-06-01","1860","1866","1800","1806","711600","1806"
"1998-06-02","1833","1833","1773","1773","174300","1773"
"1998-06-03","1766","1790","1740","1740","241500","1740"
"1998-06-04","1746","1796","1743","1766","286800","1766"
"1998-06-05","1793","1800","1770","1783","161100","1783"
"1998-06-08","1756","1783","1696","1726","187199","1726"
"1998-06-09","1710","1783","1710","1783","180300","1783"
"1998-06-10","1800","1816","1760","1780","548700","1780"
"1998-06-11","1766","1766","1716","1733","159900","1733"
"1998-06-12","1733","1733","1673","1703","445800","1703"
"1998-06-15","1673","1723","1673","1683","166800","1683"
"1998-06-16","1633","1650","1563","1566","394500","1566"
"1998-06-17","1583","1633","1583","1600","250199","1600"
"1998-06-18","1700","1700","1650","1666","235199","1666"
"1998-06-19","1663","1666","1633","1640","93000","1640"
"1998-06-22","1640","1666","1603","1616","100500","1616"
"1998-06-23","1616","1630","1600","1616","159900","1616"
"1998-06-24","1613","1716","1603","1710","258899","1710"
"1998-06-25","1763","1800","1733","1770","362100","1770"
"1998-06-26","1783","1783","1733","1750","138900","1750"
"1998-06-29","1750","1783","1733","1756","121800","1756"
