9984 ソフトバンクグループ,,,,,
"date","open","hight","low","close","power","End"
"2018-09-07","9912","10045","9893","9940","5176800","9940"
"2018-09-10","9850","10010","9828","9906","4090000","9906"
"2018-09-11","9922","10150","9899","10150","5044300","10150"
"2018-09-12","10260","10550","10250","10495","8316299","10495"
"2018-09-13","10640","11000","10605","10990","8595500","10990"
"2018-09-14","11095","11100","10685","10945","9989299","10945"
"2018-09-18","10800","10820","10585","10710","6431500","10710"
"2018-09-19","10880","11115","10860","10915","6003300","10915"
"2018-09-20","11105","11115","10815","10880","4872500","10880"
"2018-09-21","11100","11250","10935","11045","8766600","11045"
"2018-09-25","11015","11140","10905","10925","4891000","10925"
"2018-09-26","10955","11220","10935","11065","5386000","11065"
"2018-09-27","11115","11185","10960","10960","4412700","10960"
"2018-09-28","11250","11500","11150","11470","8708299","11470"
"2018-10-01","11380","11500","11270","11435","5436000","11435"
"2018-10-02","11455","11465","11170","11190","6350500","11190"
"2018-10-03","11250","11255","10965","11055","4302800","11055"
"2018-10-04","11205","11415","11050","11200","8303299","11200"
"2018-10-05","11105","11145","10985","11075","5827800","11075"
"2018-10-09","10780","10935","10685","10700","6174100","10700"
"2018-10-10","10680","10690","10040","10125","9977200","10125"
"2018-10-11","9350","9589","9287","9535","19324300","9535"
"2018-10-12","9400","9996","9400","9976","14198500","9976"
"2018-10-15","9872","9932","9164","9251","17568201","9251"
"2018-10-16","9401","9654","9395","9586","13250400","9586"
"2018-10-17","10065","10145","9691","9790","13164500","9790"
"2018-10-18","9826","9854","9587","9648","7154100","9648"
"2018-10-19","9270","9540","9213","9530","10190400","9530"
"2018-10-22","9253","9497","9239","9433","8920500","9433"
"2018-10-23","9269","9365","9153","9157","9735500","9157"
"2018-10-24","9270","9328","9011","9205","11621900","9205"
"2018-10-25","8850","8988","8770","8800","11657799","8800"
"2018-10-26","8937","8957","8520","8628","12422500","8628"
"2018-10-29","8687","8789","8504","8506","8229500","8506"
"2018-10-30","8401","8698","8345","8539","13974700","8539"
"2018-10-31","8616","9048","8613","9048","11928000","9048"
"2018-11-01","8648","8665","8224","8310","16699201","8310"
"2018-11-02","8540","8760","8458","8699","14550900","8699"
"2018-11-05","8600","8853","8538","8747","7765899","8747"
"2018-11-06","9042","9100","8503","8575","15559700","8575"
"2018-11-07","8645","8765","8512","8557","11674299","8557"
"2018-11-08","8770","8820","8690","8805","7564000","8805"
"2018-11-09","8800","8880","8731","8785","6911100","8785"
"2018-11-12","8702","8860","8702","8777","4527899","8777"
"2018-11-13","8595","8998","8371","8941","14070200","8941"
"2018-11-14","9043","9372","8980","9362","13341700","9362"
"2018-11-15","9316","9380","9003","9109","10509500","9109"
"2018-11-16","9000","9037","8771","8802","8882900","8802"
"2018-11-19","8933","9250","8920","9250","8372000","9250"
"2018-11-20","8950","9000","8775","8803","8772400","8803"
"2018-11-21","8585","8928","8585","8865","7684700","8865"
"2018-11-22","8850","8869","8674","8787","6718700","8787"
"2018-11-26","8810","8919","8795","8819","5102800","8819"
"2018-11-27","8949","9200","8880","9145","9552000","9145"
"2018-11-28","9225","9328","9159","9235","7136600","9235"
"2018-11-29","9430","9597","9416","9518","9597000","9518"
"2018-11-30","9500","9623","9382","9526","8286500","9526"
"2018-12-03","9720","9780","9632","9653","7221300","9653"
"2018-12-04","9700","9779","9504","9505","8711500","9505"
"2018-12-05","9300","9622","9276","9593","7879100","9593"
"2018-12-06","9510","9553","9016","9120","12286200","9120"
"2018-12-07","9270","9315","8821","8929","13656700","8929"
"2018-12-10","8713","8779","8604","8616","9546100","8616"
"2018-12-11","8730","8918","8708","8827","9561000","8827"
"2018-12-12","8849","9065","8685","9026","9374100","9026"
"2018-12-13","9014","9067","8781","8909","7596000","8909"
"2018-12-14","8706","8767","8480","8496","12692900","8496"
"2018-12-17","8346","8649","8260","8540","8188200","8540"
"2018-12-18","8284","8400","8233","8259","8037300","8259"
"2018-12-19","8137","8388","8028","8184","11647000","8184"
"2018-12-20","7990","8131","7773","7798","12885500","7798"
"2018-12-21","7651","7775","7490","7621","13158299","7621"
"2018-12-25","7200","7314","7020","7043","10497299","7043"
"2018-12-26","7114","7264","6803","6947","13352799","6947"
"2018-12-27","7421","7468","7148","7280","12943799","7280"
"2018-12-28","7120","7336","7120","7305","9519100","7305"
"2019-01-04","7005","7094","6867","7094","10053500","7094"
"2019-01-07","7425","7444","7304","7354","9175799","7354"
"2019-01-08","7494","7808","7420","7772","13320100","7772"
"2019-01-09","7888","7990","7850","7884","9442000","7884"
"2019-01-10","7767","7832","7570","7589","9633000","7589"
"2019-01-11","7720","7749","7651","7698","6822600","7698"
"2019-01-15","7600","7716","7473","7709","8258500","7709"
"2019-01-16","7740","7825","7638","7699","6697700","7699"
"2019-01-17","7780","7790","7696","7770","5266100","7770"
"2019-01-18","7780","7870","7705","7834","5964200","7834"
"2019-01-21","7935","7967","7810","7868","4932300","7868"
"2019-01-22","7912","7951","7788","7839","5044200","7839"
"2019-01-23","7756","8107","7752","8028","9014600","8028"
"2019-01-24","7957","8046","7950","8025","4987399","8025"
"2019-01-25","8050","8182","8033","8172","5724600","8172"
"2019-01-28","8189","8194","8061","8076","4488800","8076"
"2019-01-29","8000","8200","7968","8200","6590399","8200"
"2019-01-30","8235","8236","8050","8138","5908700","8138"
"2019-01-31","8382","8562","8234","8526","10772100","8526"
"2019-02-01","8500","8597","8431","8450","6593600","8450"
"2019-02-04","8450","8509","8358","8452","5848200","8452"
"2019-02-05","8555","8555","8390","8416","4123600","8416"
"2019-02-06","8584","8653","8383","8462","6013399","8462"
"2019-02-07","9300","9962","9260","9962","42619101","9962"
"2019-02-08","9963","10270","9807","10015","31554800","10015"
"2019-02-12","10000","10315","9941","10260","15603400","10260"
"2019-02-13","10335","11035","10290","10765","25078599","10765"
"2019-02-14","10625","10940","10515","10805","14956600","10805"
"2019-02-15","10730","10770","10320","10330","14839400","10330"
"2019-02-18","10630","10760","10245","10375","11196100","10375"
"2019-02-19","10320","10440","9944","10035","11811000","10035"
"2019-02-20","10070","10430","9957","10400","13978600","10400"
"2019-02-21","10380","10425","10185","10230","9658000","10230"
"2019-02-22","10135","10310","10135","10275","5210600","10275"
"2019-02-25","10355","10400","10235","10275","4089699","10275"
"2019-02-26","10295","10420","10265","10325","5000899","10325"
"2019-02-27","10355","10390","10240","10305","3966100","10305"
"2019-02-28","10300","10410","10260","10280","4838000","10280"
"2019-03-01","10300","10475","10300","10425","5167100","10425"
"2019-03-04","10560","10910","10530","10675","8351600","10675"
"2019-03-05","10650","10725","10385","10485","5690000","10485"
"2019-03-06","10460","10530","10350","10505","4387500","10505"
"2019-03-07","10405","10530","10355","10515","4348100","10515"
"2019-03-08","10420","10445","10280","10310","7035200","10310"
"2019-03-11","10300","10610","10295","10535","5322399","10535"
"2019-03-12","10720","10815","10560","10700","6311500","10700"
"2019-03-13","10690","10695","10525","10655","3850100","10655"
"2019-03-14","10810","11160","10760","10795","13111799","10795"
"2019-03-15","10900","10955","10805","10840","5745200","10840"
"2019-03-18","10945","11105","10910","10965","7089500","10965"
"2019-03-19","10970","11025","10835","11010","4893600","11010"
"2019-03-20","10955","11035","10910","10970","3978400","10970"
"2019-03-22","11080","11355","11015","11270","9673900","11270"
"2019-03-25","10970","11025","10605","10705","8546100","10705"
"2019-03-26","10710","10760","10570","10615","6347300","10615"
"2019-03-27","10605","10675","10530","10625","4309300","10625"
"2019-03-28","10475","10625","10270","10545","6306800","10545"
