9101 “ú–{—X‘D,,,,,
"date","open","hight","low","close","power","End","date_position"
"1989-02-22","936","942","931","935","3467000","935","1"
"1989-02-23","944","947","935","945","4795000","945","2"
"1989-02-27","945","945","932","932","2109000","932","4"
"1989-02-28","932","939","906","923","2377000","923","5"
"1989-03-01","930","930","905","907","2747000","907","6"
"1989-03-02","907","917","905","915","3598000","915","7"
"1989-03-03","918","922","905","905","3635000","905","8"
"1989-03-06","909","909","894","900","2495000","900","9"
"1989-03-07","897","910","893","905","1602000","905","10"
"1989-03-08","915","915","900","905","2829000","905","11"
"1989-03-09","906","910","896","896","2455000","896","12"
"1989-03-10","892","924","892","912","4639000","912","13"
"1989-03-13","918","922","900","902","4222000","902","14"
"1989-03-14","912","914","902","902","4432000","902","15"
"1989-03-15","910","928","910","922","3961000","922","16"
"1989-03-16","932","945","925","925","7138000","925","17"
"1989-03-17","929","940","921","922","3416000","922","18"
"1989-03-20","910","919","909","909","1776000","909","19"
"1989-03-22","910","912","888","890","1793000","890","21"
"1989-03-23","890","909","890","895","1806000","895","22"
"1989-03-24","905","909","897","900","1369000","900","23"
"1989-03-27","910","910","900","904","2749000","904","24"
"1989-03-28","910","932","903","930","4184000","930","25"
"1989-03-29","935","949","925","940","3547000","940","26"
"1989-03-30","940","990","931","989","16967000","989","27"
"1989-03-31","1000","1010","961","965","16116000","965","28"
"1989-04-03","970","1000","968","975","18043000","975","29"
"1989-04-04","991","1010","982","991","23402000","991","30"
"1989-04-05","1000","1030","994","1020","29913000","1020","31"
"1989-04-06","1010","1010","981","999","7687000","999","32"
"1989-04-07","995","1020","986","996","8091000","996","33"
"1989-04-10","997","1020","985","985","7924000","985","34"
"1989-04-11","1000","1060","998","1050","41607000","1050","35"
"1989-04-12","1060","1060","1020","1030","14555000","1030","36"
"1989-04-13","1030","1030","1000","1000","5512000","1000","37"
"1989-04-14","1000","1030","998","1020","5978000","1020","38"
"1989-04-17","1040","1060","1020","1060","23388000","1060","39"
"1989-04-18","1060","1070","1030","1030","14868000","1030","40"
"1989-04-19","1060","1080","1040","1060","21867000","1060","41"
"1989-04-20","1060","1060","1030","1030","4845000","1030","42"
"1989-04-21","1010","1070","1010","1060","11761000","1060","43"
"1989-04-24","1060","1060","1030","1050","4838000","1050","44"
"1989-04-25","1050","1100","1050","1090","31682000","1090","45"
"1989-04-26","1100","1120","1090","1120","42997000","1120","46"
"1989-04-27","1110","1120","1090","1100","18917000","1100","47"
"1989-04-28","1110","1130","1100","1110","21223000","1110","48"
"1989-05-01","1110","1140","1110","1120","11127000","1120","49"
"1989-05-02","1120","1130","1110","1110","7220000","1110","50"
"1989-05-08","1120","1140","1120","1120","11560000","1120","54"
"1989-05-09","1120","1120","1080","1080","6593000","1080","55"
"1989-05-10","1090","1100","1080","1080","4277000","1080","56"
"1989-05-11","1100","1100","1080","1100","4958000","1100","57"
"1989-05-12","1100","1110","1080","1090","6810000","1090","58"
"1989-05-15","1080","1090","1060","1070","2506000","1070","59"
"1989-05-16","1080","1090","1060","1070","3193000","1070","60"
"1989-05-17","1070","1100","1070","1090","2815000","1090","61"
"1989-05-18","1080","1090","1070","1080","2017000","1080","62"
"1989-05-19","1070","1080","1060","1060","2425000","1060","63"
"1989-05-22","1070","1080","1050","1050","1780000","1050","64"
"1989-05-23","1030","1040","1010","1010","4582000","1010","65"
"1989-05-24","1020","1050","1020","1040","3825000","1040","66"
"1989-05-25","1050","1080","1050","1060","4034000","1060","67"
"1989-05-26","1080","1080","1060","1070","4337000","1070","68"
"1989-05-29","1090","1100","1070","1090","8901000","1090","69"
"1989-05-30","1090","1100","1060","1060","8034000","1060","70"
"1989-05-31","1080","1090","1060","1070","6431000","1070","71"
"1989-06-01","1090","1100","1040","1040","7021000","1040","72"
"1989-06-02","1060","1060","1020","1020","4642000","1020","73"
"1989-06-05","1030","1030","1000","1000","2333000","1000","74"
"1989-06-06","1000","1010","990","1000","2380000","1000","75"
"1989-06-07","1020","1020","1000","1000","1549000","1000","76"
"1989-06-08","1010","1020","1000","1010","1865000","1010","77"
"1989-06-09","1010","1020","1000","1020","1615000","1020","78"
"1989-06-12","1000","1000","996","997","1947000","997","79"
"1989-06-13","991","994","970","970","3161000","970","80"
